sys1 op optimization potential (100%*op_diff/total_diff),sys1 op is slower than sys2 op by X1%=100%*(sys1-sys2)/sys2,sys2 op is faster than sys1 op by X2%=100%*(sys1-sys2)/sys1,op,device,input tensors -> output tensors,full path,sys1 total time (ns),sys2 total time (ns),sys1-sys2 (ns),abs(sys1-sys2) (ns),sys1/sys2,(1+abs(1-sys1/sys2))*abs(sys1-sys2),sys1 time per occ (ns),sys1 occurences,sys2 time per occ (ns),sys2 occurences,(sys1 occ)/(sys2 occ)
22.66,67.112,40.160,AddN,GPU-0,0:(16x1)->(1) -N i: 16 -t f32,aggregated,49342.105,29526.316,19815.789,19815.789,1.671,33114.620,49342.105,1.000,29526.316,1.000,1.000
21.88,1.039,1.028,Transpose,GPU-0,0:(128x227x227x3) 1:(4)->(128x3x227x227),aggregated,1860947.368,1841815.789,19131.579,19131.579,1.010,19330.305,1860947.368,1.000,1841815.789,1.000,1.000
8.67,31.964,24.222,AddN,GPU-0,0:(4096) 1:(4096)->(4096) -N i: 2 -t f32,aggregated,31289.474,23710.526,7578.948,7578.948,1.320,10001.520,15644.737,2.000,11855.263,2.000,1.000
8.31,3.042,2.952,SparseSoftmaxCrossEntropyWithLogits,GPU-0,0:(128x1001) 1:(128)->(128)(128x1001) -t f32 -Tlabels i32,aggregated,246026.316,238763.158,7263.158,7263.158,1.030,7484.103,246026.316,1.000,238763.158,1.000,1.000
4.97,1.366,1.348,ApplyGradientDescent,GPU-0,0:(4096x1001) 1:(1) 2:(4096x1001)->(4096x1001) -t f32 -use_locking 0,aggregated,322210.526,317868.421,4342.105,4342.105,1.014,4401.418,322210.526,1.000,317868.421,1.000,1.000
4.88,5.827,5.506,AddN,GPU-0,0:(3x3x384x256) 1:(3x3x384x256)->(3x3x384x256) -N i: 2 -t f32,aggregated,77421.053,73157.895,4263.158,4263.158,1.058,4511.587,77421.053,1.000,73157.895,1.000,1.000
4.39,4.573,4.373,Transpose,GPU-0,0:(128x256x6x6) 1:(4)->(128x6x6x256),aggregated,87868.421,84026.316,3842.105,3842.105,1.046,4017.785,87868.421,1.000,84026.316,1.000,1.000
3.91,3.177,3.079,AddN,GPU-0,0:(3x3x384x384) 1:(3x3x384x384)->(3x3x384x384) -N i: 2 -t f32,aggregated,111105.263,107684.211,3421.052,3421.052,1.032,3529.736,111105.263,1.000,107684.211,1.000,1.000
3.34,0.228,0.227,ApplyGradientDescent,GPU-0,0:(4096x4096) 1:(1) 2:(4096x4096)->(4096x4096) -t f32 -use_locking 0,aggregated,1286789.474,1283868.421,2921.053,2921.053,1.002,2927.699,1286789.474,1.000,1283868.421,1.000,1.000
3.08,53.947,35.043,Const,GPU-0,0:(none)->(1) -t f32,aggregated,7697.368,5000.000,2697.368,2697.368,1.539,4152.527,1539.474,5.000,1250.000,4.000,1.250
