reason,op name,device,input tensors -> output tensors,full path,sys1 total (ns),sys2 total (ns),sys1 time for 1 occurence (ns),sys1 occurences,sys2 time for 1 occurence (ns),sys2 occurences
unique to sys2,Identity,GPU-0,0:(128x227x227x3)->(128x227x227x3) -t f16,aggregated,0,723.684,0,0,723.684,1.0
unique to sys2,MatMul,GPU-0,0:(128x1001) 1:(4096x1001)->(128x4096) -t f16 -tr_a 0 -tr_b 1,aggregated,0,331710.526,0,0,331710.526,1.0
unique to sys2,Identity,CPU-0,0:(1)->(1) -t f32,aggregated,0,1184.211,0,0,1184.211,1.0
unique to sys2,BiasAddGrad,GPU-0,0:(128x192x27x27)->(192) -t f16 -data_format NHWC,aggregated,0,607894.737,0,0,607894.737,1.0
unique to sys2,MaxPool,GPU-0,0:(128x256x13x13)->(128x256x6x6) -t f16 -data_format NHWC -ksize list { i: 1 i: 3 i: 3 i: 1} -strides 1 2 2 1,aggregated,0,263263.158,0,0,263263.158,1.0
unique to sys2,VariableV2,CPU-0,0:(none)->(1) -t f32,aggregated,0,9184.211,0,0,9184.211,1.0
unique to sys2,Cast,GPU-0,0:(3x3x384x384)->(3x3x384x384) -DstT f32 -SrcT f16,aggregated,0,65342.105,0,0,65342.105,1.0
unique to sys2,Cast,GPU-0,0:(64)->(64) -DstT f32 -SrcT f16,aggregated,0,11052.632,0,0,11052.632,1.0
unique to sys2,Cast,GPU-0,0:(192)->(192) -DstT f32 -SrcT f16,aggregated,0,12947.368,0,0,12947.368,1.0
unique to sys2,Conv2DBackpropInput,GPU-0,0:(4) 1:(3x3x192x384) 2:(128x384x13x13)->(128x192x13x13) -t f16 -data_format NHWC -p s -cudnn 1,aggregated,0,4844894.737,0,0,4844894.737,1.0
unique to sys2,Cast,GPU-0,0:(5x5x64x192)->(5x5x64x192) -DstT f16 -SrcT f32,aggregated,0,17263.158,0,0,17263.158,1.0
