sys1 op optimization potential (100%*op_diff/total_diff),sys1 op is slower than sys2 op by X1%=100%*(sys1-sys2)/sys2,sys2 op is faster than sys1 op by X2%=100%*(sys1-sys2)/sys1,op,device,input tensors -> output tensors,full path,sys1 total time (ns),sys2 total time (ns),sys1-sys2 (ns),abs(sys1-sys2) (ns),sys1/sys2,(1+abs(1-sys1/sys2))*abs(sys1-sys2),sys1 time per occ (ns),sys1 occurences,sys2 time per occ (ns),sys2 occurences,(sys1 occ)/(sys2 occ)
7.96,158.346,61.292,Relu,GPU-0,0:(128x192x27x27)->(128x192x27x27) -t fX,aggregated,1542394.737,597026.316,945368.421,945368.421,2.583,2442323.291,1542394.737,1.000,597026.316,1.000,1.000
6.73,9.645,8.797,Conv2DBackpropInput,GPU-0,0:(4) 1:(3x3x384x384) 2:(128x384x13x13)->(128x384x13x13) -t fX -data_format NHWC -p s -cudnn 1,aggregated,9093394.737,8293473.684,799921.053,799921.053,1.096,877074.935,9093394.737,1.000,8293473.684,1.000,1.000
6.16,13.715,12.061,Conv2D,GPU-0,0:(128x192x13x13) 1:(3x3x192x384)->(128x384x13x13) -t fX -data_format NHWC -p s -cudnn 1,aggregated,6069500.000,5337473.684,732026.316,732026.316,1.137,832422.601,6069500.000,1.000,5337473.684,1.000,1.000
6.01,50.906,33.733,MaxPoolGrad,GPU-0,0:(128x64x55x55) 1:(128x64x27x27) 2:(128x64x27x27)->(128x64x55x55) -t fX -data_format NHWC -ksize list { i: 1 i: 3 i: 3 i: 1} -strides 1 2 2 1,aggregated,2115815.789,1402078.947,713736.842,713736.842,1.509,1077068.936,2115815.789,1.000,1402078.947,1.000,1.000
5.51,8.077,7.474,Conv2DBackpropFilter,GPU-0,0:(128x384x13x13) 1:(4) 2:(128x384x13x13)->(3x3x384x384) -t fX -data_format NHWC -p s -cudnn 1,aggregated,8768868.421,8113526.316,655342.105,655342.105,1.081,708275.103,8768868.421,1.000,8113526.316,1.000,1.000
5.16,88.723,47.012,Relu,GPU-0,0:(128x64x55x55)->(128x64x55x55) -t fX,aggregated,1303526.316,690710.526,612815.790,612815.790,1.887,1156521.407,1303526.316,1.000,690710.526,1.000,1.000
5.09,10.324,9.358,Conv2D,GPU-0,0:(128x3x227x227) 1:(11x11x3x64)->(128x64x55x55) -t fX -data_format NHWC -strides list { i: 1 i: 4 i: 4 i: 1} -cudnn 1,aggregated,6464631.579,5859684.211,604947.368,604947.368,1.103,667401.470,6464631.579,1.000,5859684.211,1.000,1.000
4.84,23.298,18.896,MatMul,GPU-0,0:(128x9216) 1:(9216x4096)->(128x4096) -t fX -tr_a 0 -tr_b 0,aggregated,3044263.158,2469026.316,575236.842,575236.842,1.233,709256.242,3044263.158,1.000,2469026.316,1.000,1.000
4.70,65.528,39.587,MaxPool,GPU-0,0:(128x192x27x27)->(128x192x13x13) -t fX -data_format NHWC -ksize list { i: 1 i: 3 i: 3 i: 1} -strides 1 2 2 1,aggregated,1411078.947,852473.684,558605.263,558605.263,1.655,924645.700,1411078.947,1.000,852473.684,1.000,1.000
4.40,6.243,5.876,Conv2D,GPU-0,0:(128x384x13x13) 1:(3x3x384x384)->(128x384x13x13) -t fX -data_format NHWC -p s -cudnn 1,aggregated,8889000.000,8366684.211,522315.789,522315.789,1.062,554922.946,8889000.000,1.000,8366684.211,1.000,1.000
3.55,7.898,7.320,Conv2DBackpropFilter,GPU-0,0:(128x192x13x13) 1:(4) 2:(128x384x13x13)->(3x3x192x384) -t fX -data_format NHWC -p s -cudnn 1,aggregated,5761447.368,5339710.526,421736.842,421736.842,1.079,455046.132,5761447.368,1.000,5339710.526,1.000,1.000
3.54,7.421,6.908,Conv2DBackpropFilter,GPU-0,0:(128x384x13x13) 1:(4) 2:(128x256x13x13)->(3x3x384x256) -t fX -data_format NHWC -p s -cudnn 1,aggregated,6082526.316,5662315.789,420210.527,420210.527,1.074,451395.098,6082526.316,1.000,5662315.789,1.000,1.000
3.51,88.597,46.977,Relu,GPU-0,0:(128x384x13x13)->(128x384x13x13) -t fX,aggregated,887894.737,470789.474,417105.263,417105.263,1.886,786647.936,443947.368,2.000,235394.737,2.000,1.000
3.14,24.188,19.477,ReluGrad,GPU-0,0:(128x64x55x55) 1:(128x64x55x55)->(128x64x55x55) -t fX,aggregated,1918631.579,1544947.368,373684.211,373684.211,1.242,464069.096,1918631.579,1.000,1544947.368,1.000,1.000
3.10,5.458,5.175,Conv2DBackpropFilter,GPU-0,0:(128x3x227x227) 1:(4) 2:(128x64x55x55)->(11x11x3x64) -t fX -data_format NHWC -strides list { i: 1 i: 4 i: 4 i: 1} -cudnn 1,aggregated,7122000.000,6753421.053,368578.947,368578.947,1.055,388694.743,7122000.000,1.000,6753421.053,1.000,1.000
2.50,5.070,4.826,Conv2D,GPU-0,0:(128x384x13x13) 1:(3x3x384x256)->(128x256x13x13) -t fX -data_format NHWC -p s -cudnn 1,aggregated,6164973.684,5867473.684,297500.000,297500.000,1.051,312584.218,6164973.684,1.000,5867473.684,1.000,1.000
