sys1 op optimization potential (100%*op_diff/total_diff),sys1 op is slower than sys2 op by X1%=100%*(sys1-sys2)/sys2,sys2 op is faster than sys1 op by X2%=100%*(sys1-sys2)/sys1,op,device,input tensors -> output tensors,full path,sys1 total time (ns),sys2 total time (ns),sys1-sys2 (ns),abs(sys1-sys2) (ns),sys1/sys2,(1+abs(1-sys1/sys2))*abs(sys1-sys2),sys1 time per occ (ns),sys1 occurences,sys2 time per occ (ns),sys2 occurences,(sys1 occ)/(sys2 occ)
23.25,17.193,14.671,Conv2D,GPU-0,0:(128x192x13x13) 1:(3x3x192x384)->(128x384x13x13) -t f32 -data_format NHWC -p s -cudnn 1,aggregated,6069500.000,5179052.632,890447.368,890447.368,1.172,1043544.193,6069500.000,1.000,5179052.632,1.000,1.000
13.56,58.239,36.805,MaxPool,GPU-0,0:(128x192x27x27)->(128x192x13x13) -t f32 -data_format NHWC -ksize list { i: 1 i: 3 i: 3 i: 1} -strides 1 2 2 1,aggregated,1411078.947,891736.842,519342.105,519342.105,1.582,821803.784,1411078.947,1.000,891736.842,1.000,1.000
13.27,49.141,32.949,Relu,GPU-0,0:(128x192x27x27)->(128x192x27x27) -t f32,aggregated,1542394.737,1034184.211,508210.526,508210.526,1.491,757951.274,1542394.737,1.000,1034184.211,1.000,1.000
5.78,2.494,2.433,Conv2DBackpropInput,GPU-0,0:(4) 1:(3x3x384x384) 2:(128x384x13x13)->(128x384x13x13) -t f32 -data_format NHWC -p s -cudnn 1,aggregated,9093394.737,8872157.895,221236.842,221236.842,1.025,226753.622,9093394.737,1.000,8872157.895,1.000,1.000
2.75,1.199,1.185,Conv2D,GPU-0,0:(128x384x13x13) 1:(3x3x384x384)->(128x384x13x13) -t f32 -data_format NHWC -p s -cudnn 1,aggregated,8889000.000,8783684.211,105315.789,105315.789,1.012,106578.518,8889000.000,1.000,8783684.211,1.000,1.000
2.14,1002.903,90.933,RandomUniformInt,GPU-0,0:(1) 1:(1) 2:(1)->(128) -t i32 -Tout i32 -seed i: 123 -seed2 i: 16,aggregated,89973.684,8157.895,81815.789,81815.789,11.029,902348.945,89973.684,1.000,8157.895,1.000,1.000
1.65,14.005,12.285,BiasAddGrad,GPU-0,0:(128x384x13x13)->(384) -t f32 -data_format NHWC,aggregated,515394.737,452078.947,63315.790,63315.790,1.140,72183.465,257697.368,2.000,226039.474,2.000,1.000
1.54,0.920,0.912,Conv2D,GPU-0,0:(128x3x227x227) 1:(11x11x3x64)->(128x64x55x55) -t f32 -data_format NHWC -strides list { i: 1 i: 4 i: 4 i: 1} -cudnn 1,aggregated,6464631.579,6405684.211,58947.368,58947.368,1.009,59489.822,6464631.579,1.000,6405684.211,1.000,1.000
1.54,31.454,23.928,SparseSoftmaxCrossEntropyWithLogits,GPU-0,0:(128x1001) 1:(128)->(128)(128x1001) -t f32 -Tlabels i32,aggregated,246026.316,187157.895,58868.421,58868.421,1.315,77384.824,246026.316,1.000,187157.895,1.000,1.000
1.22,40.687,28.920,Mul,GPU-0,0:(1) 1:(128x4096)->(128x4096) -t f32,aggregated,161605.263,114868.421,46736.842,46736.842,1.407,65752.794,40401.316,4.000,28717.105,4.000,1.000
