Op,Node name in TensorFlow model graph,RunMetadata Device,Total time for all kernel launches (microseconds),t0,t1,t2,t3
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,924000,1552507692317447000,1552507692317447000,1552507692318371000,1552507692318371000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,593000,1552507692318384000,1552507692318384000,1552507692318977000,1552507692318977000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,4071000,1552507692318991000,1552507692318991000,1552507692323062000,1552507692323062000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,177000,1552507692323076000,1552507692323076000,1552507692323253000,1552507692323253000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,129000,1552507692323268000,1552507692323268000,1552507692323397000,1552507692323397000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,28000,1552507692357115000,1552507692357115000,1552507692357143000,1552507692357143000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,500000,1552507692357180000,1552507692357180000,1552507692357680000,1552507692357680000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,1446000,1552507692357697000,1552507692357697000,1552507692359143000,1552507692359143000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,1953000,1552507692359158000,1552507692359158000,1552507692361111000,1552507692361111000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,331000,1552507692361125000,1552507692361125000,1552507692361456000,1552507692361456000
AddN,tower_0/v/l2_loss/AddN,/device:GPU:0/stream:all,2000,1552507692243948000,1552507692243948000,1552507692243950000,1552507692243950000
AddN,tower_0/v/l2_loss/AddN,/device:GPU:0/stream:all,2000,1552507692243965000,1552507692243965000,1552507692243967000,1552507692243967000
Conv2D,tower_0/v/cg/conv0/conv2d/Conv2D,/device:GPU:0/stream:all,4000,1552507692238514000,1552507692238514000,1552507692238518000,1552507692238518000
Conv2D,tower_0/v/cg/conv0/conv2d/Conv2D,/device:GPU:0/stream:all,2000,1552507692238560000,1552507692238560000,1552507692238562000,1552507692238562000
Conv2D,tower_0/v/cg/conv0/conv2d/Conv2D,/device:GPU:0/stream:all,5321000,1552507692238582000,1552507692238582000,1552507692243903000,1552507692243903000
L2Loss,tower_0/v/l2_loss/L2Loss_6,/device:GPU:0/stream:all,39000,1552507692238027000,1552507692238027000,1552507692238066000,1552507692238066000
L2Loss,tower_0/v/l2_loss/L2Loss_6,/device:GPU:0/stream:all,3000,1552507692238102000,1552507692238102000,1552507692238105000,1552507692238105000
L2Loss,tower_0/v/l2_loss/L2Loss_8,/device:GPU:0/stream:all,28000,1552507692238255000,1552507692238255000,1552507692238283000,1552507692238283000
L2Loss,tower_0/v/l2_loss/L2Loss_8,/device:GPU:0/stream:all,2000,1552507692238294000,1552507692238294000,1552507692238296000,1552507692238296000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,73000,1552507692310899000,1552507692310899000,1552507692310972000,1552507692310972000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,641000,1552507692311005000,1552507692311005000,1552507692311646000,1552507692311646000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,112000,1552507692311658000,1552507692311658000,1552507692311770000,1552507692311770000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,4430000,1552507692311786000,1552507692311786000,1552507692316216000,1552507692316216000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,912000,1552507692316229000,1552507692316229000,1552507692317141000,1552507692317141000
Conv2D,tower_0/v/cg/conv2/conv2d/Conv2D,/device:GPU:0/stream:all,49000,1552507692257697000,1552507692257697000,1552507692257746000,1552507692257746000
Conv2D,tower_0/v/cg/conv2/conv2d/Conv2D,/device:GPU:0/stream:all,195000,1552507692257780000,1552507692257780000,1552507692257975000,1552507692257975000
Conv2D,tower_0/v/cg/conv2/conv2d/Conv2D,/device:GPU:0/stream:all,739000,1552507692257989000,1552507692257989000,1552507692258728000,1552507692258728000
Conv2D,tower_0/v/cg/conv2/conv2d/Conv2D,/device:GPU:0/stream:all,329000,1552507692258740000,1552507692258740000,1552507692259069000,1552507692259069000
Conv2D,tower_0/v/cg/conv2/conv2d/Conv2D,/device:GPU:0/stream:all,2659000,1552507692259089000,1552507692259089000,1552507692261748000,1552507692261748000
Conv2D,tower_0/v/cg/conv2/conv2d/Conv2D,/device:GPU:0/stream:all,649000,1552507692261763000,1552507692261763000,1552507692262412000,1552507692262412000
