Node	Time
4e-09	MEMCPY-0	MEMCPYHtoD	4 bytes 	Transfer	-	0.0ms 0TOps 0GBs
4e-09	MEMCPY-0	MEMCPYDtoH	4 bytes 	Transfer	-	0.0ms 0TOps 0GBs
4e-09	MEMCPY-0	MEMCPYDtoD	4 bytes 	Transfer	-	0.0ms 0TOps 0GBs
0.004210688	GPU-0	BiasAdd	128x4096 f16	128x4096	4096	0.0ms 0TOps 120GBs
0.123011072	GPU-0	MaxPool	128x64x27x27 f16  ksize1331  str1221	128x64x55x55	-	1.2ms 0TOps 110GBs
0.010616832	GPU-0	Cast	3x3x384x384 -DstT f16 -SrcT f32 	3x3x384x384	-	0.0ms 0TOps 210GBs
3.2772e-05	GPU-0	Mul	4096 	4096	1	0.0ms 0TOps 10GBs
8e-09	CPU-0	_Retval	none 	1	-	0.0ms 0TOps 0GBs
0.004194304	GPU-0	Relu	128x4096 f16	128x4096	-	0.0ms 0TOps 660GBs
0.0	CPU-0	Identity	1 	none	-	0.0ms 0TOps 0GBs
2.048e-06	GPU-0	Cast	256 -DstT f32 -SrcT f16 	256	-	0.0ms 0TOps 0GBs
5.2e-07	GPU-0	Sum	1 -Tidx i32 -keep_dims b: 0	128	1	0.0ms 0TOps 0GBs
2.304e-06	GPU-0	AddN	192 -N i: 2 	192	192	0.0ms 0TOps 0GBs
2.6e-07	GPU-0	L2Loss	1 	64	-	0.0ms 0TOps 0GBs
0.001025024	GPU-0	Cast	128x1001 -DstT f32 -SrcT f16 	128x1001	-	0.0ms 0TOps 320GBs
7.72e-07	GPU-0	ApplyGradientDescent	64 -use_locking 0	64	1 64	0.0ms 0TOps 0GBs
0.002654212	GPU-0	L2Loss	1 	3x3x192x384	-	0.0ms 0TOps 100GBs
0.071664384	GPU-0	BiasAddGrad	192 f16	128x192x27x27	-	0.6ms 0TOps 120GBs
8e-09	GPU-0	Reciprocal	1 	1	-	0.0ms 0TOps 0GBs
0.1982464	GPU-0	Relu	128x64x55x55 f16	128x64x55x55	-	0.7ms 0TOps 290GBs
0.022152192	GPU-0	BiasAddGrad	256 f16	128x256x13x13	-	0.2ms 0TOps 110GBs
4.612e-06	GPU-0	ApplyGradientDescent	384 -use_locking 0	384	1 384	0.0ms 0TOps 0GBs
0.004194304	GPU-0	Floor	128x4096 f16	128x4096	-	0.0ms 0TOps 210GBs
0.003686404	GPU-0	ApplyGradientDescent	5x5x64x192 -use_locking 0	5x5x64x192	1 5x5x64x192	0.0ms 0TOps 160GBs
0.2973696	GPU-0	ReluGrad	128x64x55x55 f16	128x64x55x55	128x64x55x55	1.6ms 0TOps 190GBs
0.002113536	GPU-0	BiasAddGrad	4096 f16	128x4096	-	0.0ms 0TOps 50GBs
2.308e-06	GPU-0	ApplyGradientDescent	192 -use_locking 0	192	1 192	0.0ms 0TOps 0GBs
0.0	CPU-0	VariableV2	1 i64	none	-	0.0ms 0TOps 0GBs
5.12e-07	GPU-0	Cast	64 -DstT f16 -SrcT f32 	64	-	0.0ms 0TOps 0GBs
0.301989892	GPU-0	Mul	9216x4096 	9216x4096	1	2.0ms 0TOps 150GBs
0.178364672	GPU-0	Conv2D	128x64x55x55 f16  str1441 lib	128x3x227x227	11x11x3x64	5.7ms 3TOps 30GBs
0.049201152	GPU-0	AddN	4096x1001 -N i: 2 	4096x1001	4096x1001	0.3ms 0TOps 160GBs
4.9156e-05	GPU-0	ApplyGradientDescent	4096 -use_locking 0	4096	1 4096	0.0ms 0TOps 20GBs
3.072e-06	GPU-0	Cast	384 -DstT f32 -SrcT f16 	384	-	0.0ms 0TOps 0GBs
0.032800772	GPU-0	Mul	4096x1001 	4096x1001	1	0.2ms 0TOps 150GBs
0.099680256	GPU-0	ReluGrad	128x384x13x13 f16	128x384x13x13	128x384x13x13	0.5ms 0TOps 180GBs
0.015925248	GPU-0	AddN	3x3x384x384 -N i: 2 	3x3x384x384	3x3x384x384	0.1ms 0TOps 160GBs
8.012e-06	GPU-0	Mul	1001 	1001	1	0.0ms 0TOps 0GBs
3.2768e-05	GPU-0	Cast	4096 -DstT f16 -SrcT f32 	4096	-	0.0ms 0TOps 20GBs
0.134217732	GPU-0	Mul	4096x4096 	4096x4096	1	0.9ms 0TOps 150GBs
0.049201156	GPU-0	ApplyGradientDescent	4096x1001 -use_locking 0	4096x1001	1 4096x1001	0.3ms 0TOps 160GBs
0.071761936	GPU-0	Conv2DBackpropInput	128x384x13x13 f16 same_pad lib	3x3x384x384	128x384x13x13	8.4ms 7TOps 10GBs
0.00530842	GPU-0	Mul	3x3x192x384 	3x3x192x384	1	0.0ms 0TOps 150GBs
5.16e-07	GPU-0	Mul	64 	64	1	0.0ms 0TOps 0GBs
9.2932e-05	GPU-0	L2Loss	1 	11x11x3x64	-	0.0ms 0TOps 20GBs
1.54e-06	GPU-0	Mul	192 	192	1	0.0ms 0TOps 0GBs
0.178364688	GPU-0	Conv2DBackpropFilter	11x11x3x64 f16  str1441 lib	128x3x227x227	128x64x55x55	6.9ms 3TOps 30GBs
0.214990848	GPU-0	ReluGrad	128x192x27x27 f16	128x192x27x27	128x192x27x27	1.2ms 0TOps 190GBs
0.006291456	GPU-0	Mul	128x4096 f16	128x4096	128x4096	0.0ms 0TOps 270GBs
0.0	CPU-0	VariableV2	1 	none	-	0.0ms 0TOps 0GBs
1.6e-08	GPU-0	Select	1 	1	1 1	0.0ms 0TOps 0GBs
1.028e-06	GPU-0	L2Loss	1 	256	-	0.0ms 0TOps 0GBs
0.001025024	GPU-0	Cast	128x1001 -DstT f16 -SrcT f32 	128x1001	-	0.0ms 0TOps 340GBs
0.004194308	GPU-0	Mul	128x4096 f16	1	128x4096	0.0ms 0TOps 220GBs
0.019010048	GPU-0	MatMul	4096x1001 f16 A'	128x4096	128x1001	0.3ms 3TOps 60GBs
0.0094372	GPU-0	Transpose	128x256x6x6 	128x6x6x256	4	0.1ms 0TOps 130GBs
5.12e-07	GPU-0	Cast	64 -DstT f32 -SrcT f16 	64	-	0.0ms 0TOps 0GBs
0.096780288	GPU-0	Conv2D	128x192x27x27 f16 same_pad lib	128x64x27x27	5x5x64x192	5.4ms 11TOps 20GBs
0.007077892	GPU-0	Mul	3x3x384x256 	3x3x384x256	1	0.0ms 0TOps 150GBs
