average_loss/Mean	Mean	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:', '(1)', ' 1:', '(1)'], ['(1)', ' -t f32 -Tidx i32 -keep_dims b: 0'], 1000, 3000, 4000, [1552507678816383000, 1552507678816384000, 1552507678816386000, 1552507678816387000], 1]}
tower_0/v/cg/conv0/conv2d/Conv2D	Conv2D	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:', '(128x3x227x227)', ' 1:', '(11x11x3x64)'], ['(128x64x55x55)', ' -t f16 -data_format NHWC -strides list { i: 1 i: 4 i: 4 i: 1} -cudnn 1'], 1000, 5961000, 5965000, [1552507678762818000, 1552507678762819000, 1552507678768779000, 1552507678768783000], 1], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 5865000, 5857000, [1552507678762840000, 1552507678762840000, 1552507678768767000, 1552507678768767000], 1]}
tower_0/v/gradients/AddN_13	AddN	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:', '(5x5x64x192)', ' 1:', '(5x5x64x192)'], ['(5x5x64x192)', ' -N i: 2 -t f32'], 1000, 41000, 44000, [1552507678895836000, 1552507678895837000, 1552507678895877000, 1552507678895880000], 1], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 25000, 25000, [1552507678895848000, 1552507678895848000, 1552507678895873000, 1552507678895873000], 1]}
tower_0/v/gradients/tower_0/v/cg/conv3/Cast_grad/Cast	Cast	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:', '(384)'], ['(384)', ' -DstT f32 -SrcT f16'], 0, 20000, 23000, [1552507678868110000, 1552507678868110000, 1552507678868130000, 1552507678868133000], 1], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 2000, 2000, [1552507678868124000, 1552507678868124000, 1552507678868126000, 1552507678868126000], 1]}
tower_0/v/gradients/AddN_4	AddN	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:', '(4096)', ' 1:', '(4096)'], ['(4096)', ' -N i: 2 -t f32'], 0, 21000, 24000, [1552507678827697000, 1552507678827697000, 1552507678827718000, 1552507678827721000], 1], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 3000, 3000, [1552507678827711000, 1552507678827711000, 1552507678827714000, 1552507678827714000], 1]}
tower_0/v/gradients/tower_0/v/mul_grad/Mul_1	Mul	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:', '(1)', ' 1:', '(1)'], ['(1)', ' -t f32'], 1000, 198000, 205000, [1552507678751034000, 1552507678751035000, 1552507678751232000, 1552507678751239000], 1], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 2000, 2000, [1552507678751217000, 1552507678751217000, 1552507678751219000, 1552507678751219000], 1]}
tower_0/v/gradients/tower_0/v/cg/Reshape_grad/Reshape	Reshape	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:', '(128x9216)', ' 1:', '(4)'], ['(128x6x6x256)', ' -t f16 -Tshape i32'], 1000, 3000, 4000, [1552507678827691000, 1552507678827692000, 1552507678827694000, 1552507678827695000], 1]}
learning_rate_tensor/input	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:(none)'], ['(1)', ' -t f32'], 0, 1000, 3000, [1552507678750803000, 1552507678750803000, 1552507678750804000, 1552507678750806000], 1]}
tower_0/v/gradients/tower_0/v/cg/conv4/Relu_grad/ReluGrad	ReluGrad	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:', '(128x256x13x13)', ' 1:', '(128x256x13x13)'], ['(128x256x13x13)', ' -t f16'], 0, 385000, 389000, [1552507678836571000, 1552507678836571000, 1552507678836956000, 1552507678836960000], 1], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 365000, 365000, [1552507678836587000, 1552507678836587000, 1552507678836952000, 1552507678836952000], 1]}
loss_scale/read	Identity	{'/job:localhost/replica:0/task:0/device:CPU:0': [[' 0:', '(1)'], ['(1)', ' -t f32'], 1000, 2000, 4000, [1552507678750717000, 1552507678750718000, 1552507678750719000, 1552507678750721000], 1]}
tower_0/v/gradients/tower_0/v/l2_loss/L2Loss_6_grad/mul	Mul	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:', '(3x3x384x384)', ' 1:', '(1)'], ['(3x3x384x384)', ' -t f32'], 0, 3639000, 3645000, [1552507678757934000, 1552507678757934000, 1552507678761573000, 1552507678761579000], 1], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 70000, 70000, [1552507678761491000, 1552507678761491000, 1552507678761561000, 1552507678761561000], 1]}
tower_0/v/cg/dropout0_1/dropout/dropout/add	Add	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:', '(1)', ' 1:', '(128x4096)'], ['(128x4096)', ' -t f16'], 1000, 42000, 44000, [1552507678762727000, 1552507678762728000, 1552507678762769000, 1552507678762771000], 1], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 19000, 19000, [1552507678762744000, 1552507678762744000, 1552507678762763000, 1552507678762763000], 1]}
