Node	Time
949.9777777777778	MEMCPY-0	MEMCPYDtoH	4 bytes 	Transfer	-	0.0ms 0TOps 0GBs
4797.466666666667	GPU-0	ReluGrad	128x4096 	128x4096	128x4096	0.0ms 0TOps 150GBs
5261064.711111112	GPU-0	Conv2DBackpropFilter	3x3x192x384 same_pad lib	128x192x13x13	128x384x13x13	5.8ms 5TOps 10GBs
30239.53333333321	GPU-0	BiasAddGrad	192 	128x192x27x27	-	0.5ms 0TOps 160GBs
2043423.9555555559	GPU-0	MatMul	128x4096 	128x9216	9216x4096	3.1ms 3TOps 50GBs
1126.177777777778	GPU-0	ApplyGradientDescent	11x11x3x64 -use_locking 0	11x11x3x64	1 11x11x3x64	0.0ms 0TOps 100GBs
4073.2888888888883	GPU-0	Mul	128x4096 	1	128x4096	0.0ms 0TOps 150GBs
924.9555555555556	CPU-0	_Retval	none 	1	-	0.0ms 0TOps 0GBs
2322.1111111111113	GPU-0	Sum	1 -Tidx i32 -keep_dims b: 0	128	1	0.0ms 0TOps 0GBs
2224.911111111111	GPU-0	Select	1 	1	1 1	0.0ms 0TOps 0GBs
2049.4	GPU-0	AddN	384 -N i: 2 	384	384	0.0ms 0TOps 0GBs
1357.9111111111113	GPU-0	Mul	384 	384	1	0.0ms 0TOps 0GBs
2601.9111111111115	GPU-0	ApplyGradientDescent	4096 -use_locking 0	4096	1 4096	0.0ms 0TOps 20GBs
23985.266666666605	GPU-0	AddN	4096x1001 -N i: 2 	4096x1001	4096x1001	0.3ms 0TOps 160GBs
1567.9333333333336	GPU-0	Mul	4096 	4096	1	0.0ms 0TOps 20GBs
1974.9555555555553	CPU-0	_Retval	none 	1	-	0.0ms 0TOps 0GBs
34014.17777777789	GPU-0	L2Loss	1 	9216x4096	-	0.9ms 0TOps 160GBs
55095.80000000005	GPU-0	ReluGrad	128x384x13x13 	128x384x13x13	128x384x13x13	0.6ms 0TOps 160GBs
1297.1333333333332	GPU-0	Mul	64 	64	1	0.0ms 0TOps 0GBs
5524.111111111111	GPU-0	RandomUniform	128x4096 i32 -t  -seed i: 123 -seed2 i: 144	2	-	0.0ms 0TOps 120GBs
172099.73333333334	GPU-0	SparseSoftmaxCrossEntropyWithLogits	128128x1001 -Tlabels i32	128x1001	128	0.2ms 0TOps 10GBs
1507.9111111111113	GPU-0	Mul	384 	384	1	0.0ms 0TOps 0GBs
10558.777777777785	GPU-0	L2Loss	1 	3x3x384x384	-	0.0ms 0TOps 130GBs
25285.244444444426	GPU-0	ApplyGradientDescent	4096x1001 -use_locking 0	4096x1001	1 4096x1001	0.3ms 0TOps 160GBs
10089.177777777779	GPU-0	L2Loss	1 	3x3x384x256	-	0.0ms 0TOps 110GBs
231763.6222222222	GPU-0	MatMul	128x1001 	128x4096	4096x1001	0.4ms 3TOps 50GBs
5881160.066666667	GPU-0	Conv2DBackpropFilter	11x11x3x64 str1441 lib	128x3x227x227	128x64x55x55	7.2ms 3TOps 20GBs
3698.2888888888883	GPU-0	Mul	128x4096 	1	128x4096	0.0ms 0TOps 150GBs
186212.59999999986	GPU-0	Relu	128x192x27x27 	128x192x27x27	-	1.0ms 0TOps 140GBs
10933.133333333337	GPU-0	BiasAddGrad	4096 	128x4096	-	0.0ms 0TOps 90GBs
521280.1555555556	GPU-0	MaxPool	128x64x27x27 ksize1331  str1221	128x64x55x55	-	1.3ms 0TOps 100GBs
1051.2	GPU-0	AddN	11x11x3x64 -N i: 2 	11x11x3x64	11x11x3x64	0.0ms 0TOps 100GBs
7945822.666666666	GPU-0	Conv2D	128x384x13x13 same_pad lib	128x384x13x13	3x3x384x384	8.8ms 7TOps 10GBs
161230.3333333333	GPU-0	BiasAdd	128x384x13x13 	128x384x13x13	384	0.6ms 0TOps 120GBs
811395.7111111113	GPU-0	MaxPoolGrad	128x64x55x55 ksize1331  str1221	128x64x55x55	128x64x27x27 128x64x27x27	2.2ms 0TOps 100GBs
1949.9333333333334	GPU-0	Mul	1 	1	1	0.0ms 0TOps 0GBs
1811673.9555555554	GPU-0	MatMul	128x9216 B'	128x4096	9216x4096	2.8ms 3TOps 60GBs
2151.9333333333334	GPU-0	AddN	4096 -N i: 2 	4096	4096	0.0ms 0TOps 20GBs
5372.466666666674	GPU-0	Mul	128x4096 	128x4096	128x4096	0.0ms 0TOps 150GBs
356722.2666666667	GPU-0	MaxPool	128x192x13x13 ksize1331  str1221	128x192x27x27	-	0.9ms 0TOps 100GBs
7747.088888888889	GPU-0	RandomUniformInt	128 i32 -Tout i32 -seed i: 123 -seed2 i: 16	1	1 1	0.0ms 0TOps 0GBs
