Node	Time
1000.0	MEMCPY-0	MEMCPYDtoH	4 bytes 	Transfer	-	0.0ms 0TOps 0GBs
41842.10526315789	GPU-0	ReluGrad	128x4096 	128x4096	128x4096	0.0ms 0TOps 150GBs
5844947.368421053	GPU-0	Conv2DBackpropFilter	3x3x192x384 same_pad lib	128x192x13x13	128x384x13x13	5.8ms 5TOps 10GBs
450921.0526315789	GPU-0	BiasAddGrad	192 	128x192x27x27	-	0.5ms 0TOps 160GBs
30789.473684210523	GPU-0	Mul	3x3x192x384 	3x3x192x384	1	0.0ms 0TOps 170GBs
3073842.1052631577	GPU-0	MatMul	128x4096 	128x9216	9216x4096	3.1ms 3TOps 50GBs
2815.7894736842104	GPU-0	ApplyGradientDescent	11x11x3x64 -use_locking 0	11x11x3x64	1 11x11x3x64	0.0ms 0TOps 100GBs
28815.78947368421	GPU-0	Mul	128x4096 	1	128x4096	0.0ms 0TOps 150GBs
973.6842105263158	CPU-0	_Retval	none 	1	-	0.0ms 0TOps 0GBs
2447.3684210526317	GPU-0	Sum	1 -Tidx i32 -keep_dims b: 0	128	1	0.0ms 0TOps 0GBs
2342.1052631578946	GPU-0	Select	1 	1	1 1	0.0ms 0TOps 0GBs
2184.2105263157896	GPU-0	AddN	384 -N i: 2 	384	384	0.0ms 0TOps 0GBs
1447.3684210526317	GPU-0	Mul	384 	384	1	0.0ms 0TOps 0GBs
3026.315789473684	GPU-0	ApplyGradientDescent	4096 -use_locking 0	4096	1 4096	0.0ms 0TOps 20GBs
312973.6842105263	GPU-0	AddN	4096x1001 -N i: 2 	4096x1001	4096x1001	0.3ms 0TOps 160GBs
1842.105263157895	GPU-0	Mul	4096 	4096	1	0.0ms 0TOps 20GBs
2078.9473684210525	CPU-0	_Retval	none 	1	-	0.0ms 0TOps 0GBs
918815.7894736843	GPU-0	L2Loss	1 	9216x4096	-	0.9ms 0TOps 160GBs
640921.052631579	GPU-0	ReluGrad	128x384x13x13 	128x384x13x13	128x384x13x13	0.6ms 0TOps 160GBs
1368.421052631579	GPU-0	Mul	64 	64	1	0.0ms 0TOps 0GBs
18078.947368421053	GPU-0	RandomUniform	128x4096 i32 -t  -seed i: 123 -seed2 i: 144	2	-	0.0ms 0TOps 120GBs
187157.8947368421	GPU-0	SparseSoftmaxCrossEntropyWithLogits	128128x1001 -Tlabels i32	128x1001	128	0.2ms 0TOps 10GBs
