Time rank,Op,Compute utilization % (=100%*(ops/time)/(peak GOps/sec)),Bandwidth utilization % (=100%*(num_bytes/time)/(peak GB/sec)),Time for 1 occ (ns),Analytical memory time (ns; for peak GB/sec bandwidth),Num ops per 1 occ (MAC=2ops),Achieved GOps/sec,Num bytes (if 32b data),Achieved bandwidth GB/sec,Op config,Device,GPU time for 1 occ,CPU time for 1 occ,Time for 1 occ,Occurence,GPU time for all occ,CPU time for all occ,Time for all occ,GPU time for all occ (as % of GPU batch time),CPU time for all occ (as % of CPU batch time),Time for all occ (as % of batch time),Cumulative GPU time (as % of GPU batch time),Cumulative CPU time (as % of CPU batch time),Cumulative time (as % of batch time),GPU GOps computed,CPU GOps computed,Total GOps computed,GPU op memory for all occ (% total for GPU),CPU op memory for all occ (% total for CPU),Op memory for all occ (% total),Cumulative GPU op memory (%),Cumulative CPU op memory (%),Cumulative total op memory (%),GPU bytes,CPU bytes,Total bytes,Potential optimization score from bandwidth underutilization,Potential optimization score from compute underutilization,Overall potential optimization score (=duration*min(compute bandwidth underutilization)),Layer in TensorFlow model,intra op gap ((all end-all start)-(op end-op start) ns),skewness,kurtosis,unbiased std,mean,mean-std,mean+std,25th percentile,50th percentile,75th percentile,measured op time (ns),1st batch all start,1st batch op start,1st batch op end,1st batch all end,batch2 all start; batch2 op start; batch2 op end; batch2 all end; batch 3 all start etc.
1,Conv2DBackpropFilter,150.173,4.453,8953921.053,398677.422,57415827456,6412.367,71761936,8.015, 0:(128x384x13x13) 1:(4) 2:(128x384x13x13)->(3x3x384x384) -t f32 -data_format NHWC -p s -cudnn 1,GPU-0,8953921.053,0.000,8953921.053,1.00,8953921.05263158,0.0,8953921.05263158,6.293011,0.000000,6.291957,6.293011,0.000000,6.291957,57415827456.000000,0,57415827456.000000,0.998221,0.000000,0.998221,74.193249,0.000000,74.193249,71761936.000000,0,71761936.000000,5.697178,0.000000,0.000000,tower_0/v/gradients/tower_0/v/cg/conv3/conv2d/Conv2D_grad/Conv2DBackpropFilter,5000,1.1874510630510597,3.6722788183873387,339251,8978238,8638987,9317489,8733250.0,8856500.0,9117000.0,8833000;8948000;9680000;8892000;8921000;9492000;9142000;9111000;9119000;9337000,104358880,104359880,113278880,113282880,594830880;594830880;603879880;603884880;934525880;934526880;944343880;944354880;1278075880;1278076880;1287091880;1287098880;1673228880;1673229880;1682247880;1682253880;2022711880;2022711880;2032310880;2032317880;2368215880;2368215880;2377477880;2377484880;2708836880;2708837880;2718046880;2718051880;3051970880;3051971880;3061193880;3061198880;3389794880;3389795880;3399770880;3399778880;3732976880;3732977880;3743092880;3743100880;4079938880;4079938880;4089918880;4089924880;4440711880;4440711880;4450007880;4450012880;4783103880;4783103880;4792092880;4792097880;5121127880;5121128880;5130005880;5130010880;5466198880;5466198880;5475092880;5475096880;5806168880;5806169880;5815073880;5815077880;6164521880;6164522880;6173828880;6173839880;6541617880;6541618880;6551499880;6551505880;6904562880;6904562880;6914515880;6914521880
2,Conv2DBackpropInput,151.556,4.494,8872157.895,398677.422,57415827456,6471.461,71761936,8.088, 0:(4) 1:(3x3x384x384) 2:(128x384x13x13)->(128x384x13x13) -t f32 -data_format NHWC -p s -cudnn 1,GPU-0,8872157.895,0.000,8872157.895,1.00,8872157.894736841,0.0,8872157.894736841,6.235546,0.000000,6.234501,12.528557,0.000000,12.526458,57415827456.000000,0,57415827456.000000,0.998221,0.000000,0.998221,75.191470,0.000000,75.191470,71761936.000000,0,71761936.000000,5.642598,0.000000,0.000000,tower_0/v/gradients/tower_0/v/cg/conv3/conv2d/Conv2D_grad/Conv2DBackpropInput,3000,2.3912729478198047,10.021447616493887,472555,8933952,8461397,9406507,8656500.0,8753500.0,9076750.0,8748000;8850000;8730000;8792000;8656000;9079000;9553000;9081000;9044000;9113000,95224880,95224880,104061880,104064880,585583880;585584880;594528880;594532880;925402880;925403880;934225880;934229880;1268859880;1268860880;1277763880;1277767880;1664156880;1664157880;1672923880;1672928880;2013225880;2013226880;2022405880;2022409880;2358230880;2358230880;2367897880;2367903880;2699171880;2699172880;2708355880;2708359880;3042527880;3042528880;3051666880;3051670880;3379974880;3379975880;3389189880;3389194880;3723827880;3723828880;3732669880;3732673880;4070458880;4070459880;4079633880;4079637880;4429262880;4429262880;4440385880;4440393880;4773919880;4773919880;4782802880;4782807880;5112045880;5112045880;5120826880;5120830880;5457236880;5457237880;5465899880;5465903880;5797037880;5797038880;5805869880;5805873880;6154409880;6154409880;6163888880;6163900880;6532215880;6532216880;6541299880;6541304880;6893984880;6893985880;6904240880;6904246880
3,Conv2D,153.083,4.539,8783684.211,398677.333,57415827456,6536.645,71761920,8.170, 0:(128x384x13x13) 1:(3x3x384x384)->(128x384x13x13) -t f32 -data_format NHWC -p s -cudnn 1,GPU-0,8783684.211,0.000,8783684.211,1.00,8783684.210526315,0.0,8783684.210526315,6.173365,0.000000,6.172330,18.701921,0.000000,18.698788,57415827456.000000,0,57415827456.000000,0.998220,0.000000,0.998220,76.189690,0.000000,76.189690,71761920.000000,0,71761920.000000,5.583552,0.000000,0.000000,tower_0/v/cg/conv3/conv2d/Conv2D,3000,-0.2550716049949997,2.6419649605207747,221327,8779476,8558149,9000803,8652750.0,8787500.0,8922750.0,8923000;9029000;8907000;9072000;9178000;8651000;8797000;8708000;8460000;8465000,37536880,37536880,46555880,46558880,527206880;527206880;536335880;536339880;867738880;867739880;876754880;876758880;1210559880;1210559880;1219741880;1219746880;1606214880;1606215880;1615508880;1615512880;1953993880;1953994880;1962747880;1962751880;2298511880;2298511880;2307410880;2307414880;2641992880;2641992880;2650805880;2650809880;2984119880;2984119880;2993054880;2993058880;3321570880;3321570880;3330139880;3330143880;3663772880;3663773880;3672778880;3672782880;4010314880;4010314880;4019008880;4019012880;4367719880;4367719880;4376905880;4376912880;4714985880;4714986880;4724465880;4724471880;5054548880;5054548880;5063784880;5063789880;5400545880;5400545880;5409607880;5409611880;5739155880;5739156880;5748428880;5748431880;6090350880;6090350880;6099604880;6099614880;6471799880;6471799880;6480590880;6480593880;6830121880;6830121880;6839394880;6839400880
4,Conv2DBackpropFilter,62.011,13.698,7233763.158,990914.933,19153947648,2647.854,178364688,24.657, 0:(128x3x227x227) 1:(4) 2:(128x64x55x55)->(11x11x3x64) -t f32 -data_format NHWC -strides list { i: 1 i: 4 i: 4 i: 1} -cudnn 1,GPU-0,7233763.158,0.000,7233763.158,1.00,7233763.157894738,0.0,7233763.157894738,5.084046,0.000000,5.083195,23.785968,0.000000,23.781983,19153947648.000000,0,19153947648.000000,2.481083,0.000000,2.481083,40.617204,0.000000,40.617204,178364688.000000,0,178364688.000000,4.132739,1.676895,1.676895,tower_0/v/gradients/tower_0/v/cg/conv0/conv2d/Conv2D_grad/Conv2DBackpropFilter,5000,1.2040826272519556,3.2157617793112676,276056,7253595,6977540,7529651,7094500.0,7152500.0,7318250.0,7223000;7185000;7094000;7089000;7761000;7431000;7112000;7206000;7227000;7313000,143958880,143958880,151291880,151296880,634726880;634726880;642042880;642047880;975283880;975284880;982503880;982509880;1323464880;1323465880;1330900880;1330905880;1714526880;1714526880;1722423880;1722431880;2064590880;2064591880;2072139880;2072144880;2409831880;2409832880;2417075880;2417080880;2749059880;2749059880;2756384880;2756389880;3091968880;3091968880;3099312880;3099317880;3431026880;3431027880;3438453880;3438459880;3775856880;3775857880;3783092880;3783097880;4122993880;4122993880;4130268880;4130273880;4482399880;4482400880;4490270880;4490276880;4822700880;4822701880;4829977880;4829982880;5161376880;5161377880;5168765880;5168771880;5505499880;5505499880;5512708880;5512713880;5845565880;5845566880;5853013880;5853021880;6207020880;6207021880;6215271880;6215282880;6583768880;6583769880;6591046880;6591051880;6947814880;6947815880;6955739880;6955745880
5,Conv2D,65.775,15.469,6405684.211,990914.844,17990860800,2808.578,178364672,27.845, 0:(128x3x227x227) 1:(11x11x3x64)->(128x64x55x55) -t f32 -data_format NHWC -strides list { i: 1 i: 4 i: 4 i: 1} -cudnn 1,GPU-0,6405684.211,0.000,6405684.211,1.00,6405684.2105263155,0.0,6405684.2105263155,4.502054,0.000000,4.501300,28.288022,0.000000,28.283283,17990860800.000000,0,17990860800.000000,2.481082,0.000000,2.481082,43.098287,0.000000,43.098287,178364672.000000,0,178364672.000000,3.579929,1.315505,1.315505,tower_0/v/cg/conv0/conv2d/Conv2D,5000,0.24372546714206192,4.20420312661698,431983,6417190,5985208,6849173,6220750.0,6504000.0,6633750.0,6298000;7333000;6633000;6917000;6628000;6295000;6426000;6156000;5738000;6220000,9599880,9600880,15995880,15999880,499089880;499090880;506521880;506526880;839265880;839266880;846011880;846019880;1182483880;1182483880;1189511880;1189520880;1578517880;1578518880;1585250880;1585257880;1927173880;1927173880;1933581880;1933590880;2271814880;2271815880;2278350880;2278358880;2615680880;2615680880;2621947880;2621954880;2957704880;2957704880;2963557880;2963563880;3294678880;3294678880;3301013880;3301021880;3636935880;3636936880;3643411880;3643418880;3983540880;3983541880;3989761880;3989768880;4339560880;4339560880;4347435880;4347445880;4688730880;4688730880;4694385880;4694389880;5026920880;5026921880;5033573880;5033581880;5373400880;5373401880;5379979880;5379986880;5711504880;5711505880;5718300880;5718307880;6062284880;6062285880;6069243880;6069250880;6444117880;6444117880;6450879880;6450886880;6803913880;6803913880;6809593880;6809598880
6,Conv2DBackpropInput,141.497,5.167,6335289.474,327316.000,38277218304,6041.905,58916880,9.300, 0:(4) 1:(3x3x384x256) 2:(128x256x13x13)->(128x384x13x13) -t f32 -data_format NHWC -p s -cudnn 1,GPU-0,6335289.474,0.000,6335289.474,1.00,6335289.47368421,0.0,6335289.47368421,4.452580,0.000000,4.451834,32.740602,0.000000,32.735116,38277218304.000000,0,38277218304.000000,0.819544,0.000000,0.819544,86.537049,0.000000,86.537049,58916880.000000,0,58916880.000000,3.999216,0.000000,0.000000,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropInput,4000,3.2183088472039816,14.32679309211025,395711,6397524,6001813,6793235,6226250.0,6269000.0,6345500.0,6271000;6344000;6256000;6319000;6230000;6598000;6172000;6346000;6349000;6443000,81628880,81628880,88001880,88005880,571793880;571794880;578241880;578245880;911820880;911821880;918181880;918186880;1255113880;1255114880;1261549880;1261553880;1650659880;1650660880;1656995880;1656999880;1998740880;1998740880;2005454880;2005458880;2344532880;2344532880;2350817880;2350821880;2685252880;2685252880;2691708880;2691712880;3028731880;3028731880;3035195880;3035199880;3366021880;3366021880;3372580880;3372585880;3709230880;3709231880;3715606880;3715610880;4055706880;4055706880;4062481880;4062485880;4413537880;4413538880;4421985880;4421991880;4760236880;4760237880;4766657880;4766661880;5098559880;5098560880;5104877880;5104881880;5443803880;5443804880;5450020880;5450024880;5783462880;5783463880;5789842880;5789846880;6140122880;6140123880;6146776880;6146785880;6517740880;6517740880;6524248880;6524253880;6878835880;6878836880;6886455880;6886461880
7,Conv2D,144.449,5.274,6205815.789,327315.911,38277218304,6167.959,58916864,9.494, 0:(128x384x13x13) 1:(3x3x384x256)->(128x256x13x13) -t f32 -data_format NHWC -p s -cudnn 1,GPU-0,6205815.789,0.000,6205815.789,1.00,6205815.7894736845,0.0,6205815.7894736845,4.361583,0.000000,4.360852,37.102184,0.000000,37.095968,38277218304.000000,0,38277218304.000000,0.819543,0.000000,0.819543,88.176137,0.000000,88.176136,58916864.000000,0,58916864.000000,3.912818,0.000000,0.000000,tower_0/v/cg/conv4/conv2d/Conv2D,4000,1.9331828682172998,9.815541075111152,210952,6222976,6012024,6433928,6135750.0,6213000.0,6269000.0,6271000;6332000;6263000;6246000;6252000;6290000;7149000;6031000;6273000;6244000,47598880,47598880,53957880,53961880,537393880;537394880;543828880;543832880;877807880;877807880;884171880;884175880;1220805880;1220805880;1227265880;1227277880;1616557880;1616557880;1622899880;1622903880;1963875880;1963875880;1970478880;1970482880;2308441880;2308441880;2315926880;2315930880;2651833880;2651833880;2657959880;2657963880;2994080880;2994080880;3000451880;3000455880;3331449880;3331449880;3338181880;3338187880;3673812880;3673813880;3679930880;3679934880;4020192880;4020192880;4026751880;4026756880;4378194880;4378194880;4384449880;4384455880;4725496880;4725496880;4731986880;4731993880;5064833880;5064833880;5071124880;5071129880;5410643880;5410643880;5416805880;5416809880;5749477880;5749477880;5755817880;5755821880;6101307880;6101308880;6107994880;6108007880;6481624880;6481624880;6488703880;6488708880;6840681880;6840682880;6847219880;6847226880
8,Conv2DBackpropFilter,146.243,5.340,6129684.211,327316.000,38277218304,6244.566,58916880,9.612, 0:(128x384x13x13) 1:(4) 2:(128x256x13x13)->(3x3x384x256) -t f32 -data_format NHWC -p s -cudnn 1,GPU-0,6129684.211,0.000,6129684.211,1.00,6129684.2105263155,0.0,6129684.2105263155,4.308076,0.000000,4.307354,41.410260,0.000000,41.403322,38277218304.000000,0,38277218304.000000,0.819544,0.000000,0.819544,87.356593,0.000000,87.356593,58916880.000000,0,58916880.000000,3.861973,0.000000,0.000000,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,5000,2.483056832264568,11.248633586415776,196954,6152167,5955213,6349120,6033750.0,6099000.0,6218500.0,6101000;6175000;6073000;6136000;6039000;6322000;6262000;6252000;6184000;6247000,88233880,88233880,94431880,94436880,578498880;578499880;584791880;584796880;918422880;918422880;924610880;924615880;1261789880;1261790880;1268057880;1268063880;1657230880;1657231880;1663368880;1663372880;2005694880;2005694880;2012116880;2012121880;2351053880;2351054880;2357427880;2357434880;2691943880;2691944880;2698369880;2698374880;3035438880;3035439880;3041729880;3041734880;3372822880;3372823880;3379179880;3379184880;3715845880;3715846880;3723028880;3723035880;4062729880;4062730880;4069393880;4069398880;4422245880;4422246880;4428460880;4428466880;4766895880;4766895880;4773127880;4773132880;5105118880;5105119880;5111256880;5111261880;5450258880;5450259880;5456283880;5456287880;5790073880;5790074880;5796249880;5796254880;6147366880;6147367880;6153603880;6153609880;6524490880;6524491880;6531031880;6531036880;6886708880;6886709880;6893191880;6893195880
9,Conv2DBackpropFilter,115.025,4.990,5844947.368,291635.289,28707913728,4911.578,52494352,8.981, 0:(128x192x13x13) 1:(4) 2:(128x384x13x13)->(3x3x192x384) -t f32 -data_format NHWC -p s -cudnn 1,GPU-0,5844947.368,0.000,5844947.368,1.00,5844947.368421053,0.0,5844947.368421053,4.107956,0.000000,4.107268,45.518216,0.000000,45.510590,28707913728.000000,0,28707913728.000000,0.730205,0.000000,0.730205,88.906342,0.000000,88.906341,52494352.000000,0,52494352.000000,3.696952,0.000000,0.000000,tower_0/v/gradients/tower_0/v/cg/conv2/conv2d/Conv2D_grad/Conv2DBackpropFilter,5000,0.9697214322227241,3.277800907902335,190552,5857738,5667186,6048290,5708750.0,5801500.0,5943500.0,5876000;5879000;5796000;5823000;6096000;6007000;6326000;5879000;5880000;5942000,119636880,119637880,125599880,125603880,610319880;610320880;616291880;616295880;951084880;951085880;956977880;956981880;1293508880;1293508880;1299432880;1299437880;1688990880;1688991880;1695224880;1695229880;2038990880;2038991880;2045091880;2045095880;2383884880;2383885880;2390572880;2390582880;2724701880;2724702880;2730671880;2730675880;3067612880;3067613880;3073582880;3073586880;3406259880;3406260880;3412297880;3412301880;3749491880;3749492880;3756467880;3756475880;4096310880;4096310880;4102925880;4102930880;4456976880;4456977880;4463204880;4463208880;4798488880;4798489880;4804400880;4804404880;5136451880;5136452880;5142318880;5142322880;5481416880;5481417880;5487296880;5487300880;5821431880;5821432880;5827328880;5827332880;6181345880;6181345880;6187240880;6187249880;6557897880;6557898880;6564250880;6564254880;6921465880;6921466880;6927635880;6927639880
10,Conv2D,129.815,5.631,5179052.632,291635.200,28707913728,5543.082,52494336,10.136, 0:(128x192x13x13) 1:(3x3x192x384)->(128x384x13x13) -t f32 -data_format NHWC -p s -cudnn 1,GPU-0,5179052.632,0.000,5179052.632,1.00,5179052.631578947,0.0,5179052.631578947,3.639951,0.000000,3.639341,49.158167,0.000000,49.149932,28707913728.000000,0,28707913728.000000,0.730205,0.000000,0.730205,90.366752,0.000000,90.366752,52494336.000000,0,52494336.000000,3.252443,0.000000,0.000000,tower_0/v/cg/conv2/conv2d/Conv2D,5000,-0.09755800075415952,2.1428943377082765,209587,5176571,4966984,5386159,5021500.0,5171000.0,5395000.0,5176000;5237000;5175000;5206000;5170000;4920000;5433000;4888000;5194000;5200000,31181880,31182880,36481880,36485880,520784880;520784880;526142880;526146880;860703880;860703880;866385880;866389880;1203595880;1203595880;1209502880;1209507880;1599833880;1599834880;1605147880;1605152880;1947158880;1947158880;1952689880;1952693880;2291648880;2291649880;2297474880;2297479880;2635498880;2635499880;2640965880;2640969880;2977575880;2977575880;2982890880;2982895880;3314745880;3314745880;3320535880;3320540880;3657102880;3657102880;3662734880;3662739880;4003593880;4003593880;4009282880;4009286880;4361399880;4361400880;4366686880;4366690880;4708799880;4708799880;4713954880;4713959880;5048241880;5048241880;5053496880;5053500880;5393842880;5393843880;5399505880;5399509880;5732791880;5732791880;5738098880;5738103880;6083725880;6083725880;6089284880;6089288880;6464492880;6464492880;6470754880;6470760880;6823706880;6823707880;6828843880;6828847880
