ConstantFolding/average_loss/Mean/input_const_axis	/job:localhost/replica:0/task:0/device:GPU:0	1000	2000	3000	['(1)']	ConstantFolding/average_loss/Mean/input_const_axis = Const(^tower_0/v/add)	[1552507415126841000, 1552507415126842000, 1552507415126843000, 1552507415126844000]
ConstantFolding/tower_0/v/cg/dropout0_1/dropout/dropout/div_recip	/job:localhost/replica:0/task:0/device:GPU:0	0	1000	3000	['(1)']	ConstantFolding/tower_0/v/cg/dropout0_1/dropout/dropout/div_recip = Const()	[1552507415062142000, 1552507415062142000, 1552507415062143000, 1552507415062145000]
ConstantFolding/tower_0/v/gradients/tower_0/v/cg/conv0/conv2d/Conv2D_grad/ShapeN-matshapes-1	/job:localhost/replica:0/task:0/device:GPU:0	0	2000	4000	['(4)']	ConstantFolding/tower_0/v/gradients/tower_0/v/cg/conv0/conv2d/Conv2D_grad/ShapeN-matshapes-1 = Const(^v/cg/conv0/conv2d/kernel/read, ^tower_0/v/gpu_cached_inputs/read)	[1552507415069956000, 1552507415069956000, 1552507415069958000, 1552507415069960000]
ConstantFolding/tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/ShapeN-matshapes-1	/job:localhost/replica:0/task:0/device:GPU:0	200	700	2000	['(4)']	ConstantFolding/tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/ShapeN-matshapes-1 = Const(^v/cg/conv1/conv2d/kernel/read, ^tower_0/v/cg/mpool0/MaxPool)	[1552507415081767000, 1552507415081767200, 1552507415081767700, 1552507415081769000]
ConstantFolding/tower_0/v/gradients/tower_0/v/cg/conv2/conv2d/Conv2D_grad/ShapeN-matshapes-1	/job:localhost/replica:0/task:0/device:GPU:0	0	1000	2000	['(4)']	ConstantFolding/tower_0/v/gradients/tower_0/v/cg/conv2/conv2d/Conv2D_grad/ShapeN-matshapes-1 = Const(^v/cg/conv2/conv2d/kernel/read, ^tower_0/v/cg/mpool1/MaxPool)	[1552507415092400000, 1552507415092400000, 1552507415092401000, 1552507415092402000]
ConstantFolding/tower_0/v/gradients/tower_0/v/cg/conv3/conv2d/Conv2D_grad/ShapeN-matshapes-1	/job:localhost/replica:0/task:0/device:GPU:0	1000	2000	3000	['(4)']	ConstantFolding/tower_0/v/gradients/tower_0/v/cg/conv3/conv2d/Conv2D_grad/ShapeN-matshapes-1 = Const(^v/cg/conv3/conv2d/kernel/read, ^tower_0/v/cg/conv2/Relu)	[1552507415098754000, 1552507415098755000, 1552507415098756000, 1552507415098757000]
ConstantFolding/tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/ShapeN-matshapes-1	/job:localhost/replica:0/task:0/device:GPU:0	0	1000	2000	['(4)']	ConstantFolding/tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/ShapeN-matshapes-1 = Const(^v/cg/conv4/conv2d/kernel/read, ^tower_0/v/cg/conv3/Relu)	[1552507415108817000, 1552507415108817000, 1552507415108818000, 1552507415108819000]
ConstantFolding/tower_0/v/xentropy/sparse_softmax_cross_entropy_loss/div_recip	/job:localhost/replica:0/task:0/device:GPU:0	0	2000	3000	['(1)']	ConstantFolding/tower_0/v/xentropy/sparse_softmax_cross_entropy_loss/div_recip = Const()	[1552507415062100000, 1552507415062100000, 1552507415062102000, 1552507415062103000]
PermConstNCHWToNHWC-LayoutOptimizer	/job:localhost/replica:0/task:0/device:GPU:0	0	1000	3000	['(4)']	PermConstNCHWToNHWC-LayoutOptimizer = Const()	[1552507415062161000, 1552507415062161000, 1552507415062162000, 1552507415062164000]
PermConstNHWCToNCHW-LayoutOptimizer	/job:localhost/replica:0/task:0/device:GPU:0	0	1000	2000	['(4)']	PermConstNHWCToNCHW-LayoutOptimizer = Const()	[1552507415062183000, 1552507415062183000, 1552507415062184000, 1552507415062185000]
_SOURCE	/job:localhost/replica:0/task:0/device:CPU:0	1000	2000	4000	['(none)']	_SOURCE = NoOp()	[1552507415061963000, 1552507415061964000, 1552507415061965000, 1552507415061967000]
_SOURCE	/job:localhost/replica:0/task:0/device:GPU:0	3000	7000	134000	['(none)']	_SOURCE = NoOp()	[1552507415061945000, 1552507415061948000, 1552507415061952000, 1552507415062079000]
