1353383.653395784	GPU-0	Conv2D	128x64x55x55 f16  str1441 lib	128x3x227x227	11x11x3x64	5.9ms 3TOps 30GBs
11020.000000000004	GPU-0	AddN	5x5x64x192 -N i: 2 	5x5x64x192	5x5x64x192	0.0ms 0TOps 110GBs
12088.6	GPU-0	Mul	256 	256	1	0.0ms 0TOps 0GBs
10574.377777777778	GPU-0	ApplyGradientDescent	384 -use_locking 0	384	1 384	0.0ms 0TOps 0GBs
649.9997658079626	GPU-0	Identity	5x5x64x192 	5x5x64x192	-	0.0ms 0TOps 0GBs
5746.644444444444	GPU-0	Mul	5x5x64x192 	5x5x64x192	1	0.0ms 0TOps 120GBs
487118.9306791569	GPU-0	MatMul	9216x4096 f16 A'	128x9216	128x4096	2.9ms 3TOps 50GBs
18282.288888888892	GPU-0	BiasAdd	128x4096 f16	128x4096	4096	0.0ms 0TOps 100GBs
1999.9997658079624	GPU-0	VariableV2	4096 	none	-	0.0ms 0TOps 0GBs
38624.911111111105	GPU-0	Select	1 	1	1 1	0.0ms 0TOps 0GBs
84742.93333333335	GPU-0	Mul	4096 	4096	1	0.1ms 0TOps 0GBs
10912.177777777777	GPU-0	ApplyGradientDescent	192 -use_locking 0	192	1 192	0.0ms 0TOps 0GBs
11758.177777777779	GPU-0	BiasAdd	128x1001 f16	128x1001	1001	0.0ms 0TOps 60GBs
29173.48888888891	GPU-0	Mul	4096x1001 	4096x1001	1	0.2ms 0TOps 150GBs
16876.3777777778	GPU-0	ApplyGradientDescent	3x3x384x384 -use_locking 0	3x3x384x384	1 3x3x384x384	0.1ms 0TOps 140GBs
2074.9333333333334	GPU-0	Mean	1 -Tidx i32 -keep_dims b: 0	1	1	0.0ms 0TOps 0GBs
23292.466666666667	GPU-0	Cast	11x11x3x64 -DstT f16 -SrcT f32 	11x11x3x64	-	0.0ms 0TOps 10GBs
14708.244444444445	GPU-0	ApplyGradientDescent	1001 -use_locking 0	1001	1 1001	0.0ms 0TOps 0GBs
1374.9997658079626	GPU-0	VariableV2	9216x4096 	none	-	0.0ms 0TOps 0GBs
37208.711111111115	GPU-0	L2Loss	1 	11x11x3x64	-	0.0ms 0TOps 0GBs
6871.666666666666	GPU-0	Cast	5x5x64x192 -DstT f32 -SrcT f16 	5x5x64x192	-	0.0ms 0TOps 110GBs
4703.399999999994	GPU-0	Cast	3x3x384x256 -DstT f32 -SrcT f16 	3x3x384x256	-	0.0ms 0TOps 150GBs
69908.77777777778	GPU-0	Mul	3x3x192x384 	3x3x192x384	1	0.1ms 0TOps 50GBs
221124.73333333337	GPU-0	SparseSoftmaxCrossEntropyWithLogits	128128x1001 -Tlabels i32	128x1001	128	0.2ms 0TOps 0GBs
849.9997658079626	GPU-0	Const	4 	none	-	0.0ms 0TOps 0GBs
1074.9997658079626	GPU-0	VariableV2	256 	none	-	0.0ms 0TOps 0GBs
3024.9997658079633	GPU-0	VariableV2	4096x4096 	none	-	0.0ms 0TOps 0GBs
12317.444444444445	GPU-0	Mul	11x11x3x64 	11x11x3x64	1	0.0ms 0TOps 10GBs
107823.40000000002	GPU-0	BiasAddGrad	384 f16	128x384x13x13	-	0.3ms 0TOps 110GBs
2774.9997658079624	CPU-0	Const	1 i64	none	-	0.0ms 0TOps 0GBs
10497.155555555555	GPU-0	Cast	64 -DstT f32 -SrcT f16 	64	-	0.0ms 0TOps 0GBs
1899.9997658079624	GPU-0	VariableV2	5x5x64x192 	none	-	0.0ms 0TOps 0GBs
14351.91111111111	GPU-0	ApplyGradientDescent	4096 -use_locking 0	4096	1 4096	0.0ms 0TOps 0GBs
252667.59999999963	GPU-0	AddN	9216x4096 -N i: 2 	9216x4096	9216x4096	2.9ms 0TOps 160GBs
272768.9306791569	GPU-0	MatMul	128x9216 f16 B'	128x4096	9216x4096	2.7ms 4TOps 60GBs
47955.488888888896	GPU-0	Mul	1001 	1001	1	0.1ms 0TOps 0GBs
8724.999765807963	CPU-0	VariableV2	1 	none	-	0.0ms 0TOps 0GBs
10442.955555555558	GPU-0	Cast	4096 -DstT f32 -SrcT f16 	4096	-	0.0ms 0TOps 0GBs
44996.64444444445	GPU-0	Mul	5x5x64x192 	5x5x64x192	1	0.1ms 0TOps 40GBs
11907.911111111112	GPU-0	ApplyGradientDescent	256 -use_locking 0	256	1 256	0.0ms 0TOps 0GBs
33979.37777777778	GPU-0	L2Loss	1 	3x3x192x384	-	0.1ms 0TOps 50GBs
