Node	Time
1353383.653395784	GPU-0	Conv2D	128x64x55x55 f16  str1441 lib	128x3x227x227	11x11x3x64	5.9ms 3TOps 30GBs
28302.21592505855	GPU-0	Mul	128x4096 f16	128x4096	128x4096	0.0ms 0TOps 210GBs
31428.056206088993	GPU-0	AddN	5x5x64x192 -N i: 2 	5x5x64x192	5x5x64x192	0.0ms 0TOps 110GBs
12099.940046838412	GPU-0	Mul	256 	256	1	0.0ms 0TOps 0GBs
10599.999765807963	GPU-0	ApplyGradientDescent	384 -use_locking 0	384	1 384	0.0ms 0TOps 0GBs
649.9997658079626	GPU-0	Identity	5x5x64x192 	5x5x64x192	-	0.0ms 0TOps 0GBs
19328.056206088993	GPU-0	Mul	5x5x64x192 	5x5x64x192	1	0.0ms 0TOps 120GBs
487118.9306791569	GPU-0	MatMul	9216x4096 f16 A'	128x9216	128x4096	2.9ms 3TOps 50GBs
562979.2379391101	GPU-0	Relu	128x192x27x27 f16	128x192x27x27	-	0.6ms 0TOps 240GBs
41552.215925058554	GPU-0	BiasAdd	128x4096 f16	128x4096	4096	0.0ms 0TOps 100GBs
1999.9997658079624	GPU-0	VariableV2	4096 	none	-	0.0ms 0TOps 0GBs
38624.99976580797	GPU-0	Select	1 	1	1 1	0.0ms 0TOps 0GBs
84924.04074941453	GPU-0	Mul	4096 	4096	1	0.1ms 0TOps 0GBs
10924.999765807963	GPU-0	ApplyGradientDescent	192 -use_locking 0	192	1 192	0.0ms 0TOps 0GBs
17444.993442622952	GPU-0	BiasAdd	128x1001 f16	128x1001	1001	0.0ms 0TOps 60GBs
210439.79016393443	GPU-0	Mul	4096x1001 	4096x1001	1	0.2ms 0TOps 150GBs
105349.99976580798	GPU-0	ApplyGradientDescent	3x3x384x384 -use_locking 0	3x3x384x384	1 3x3x384x384	0.1ms 0TOps 140GBs
2074.999765807963	GPU-0	Mean	1 -Tidx i32 -keep_dims b: 0	1	1	0.0ms 0TOps 0GBs
24324.999765807963	GPU-0	Cast	11x11x3x64 -DstT f16 -SrcT f32 	11x11x3x64	-	0.0ms 0TOps 10GBs
725549.999765808	GPU-0	Cast	4096x4096 -DstT f32 -SrcT f16 	4096x4096	-	0.8ms 0TOps 180GBs
14774.999765807963	GPU-0	ApplyGradientDescent	1001 -use_locking 0	1001	1 1001	0.0ms 0TOps 0GBs
1374.9997658079626	GPU-0	VariableV2	9216x4096 	none	-	0.0ms 0TOps 0GBs
37708.67798594848	GPU-0	L2Loss	1 	11x11x3x64	-	0.0ms 0TOps 0GBs
20524.999765807966	GPU-0	Cast	5x5x64x192 -DstT f32 -SrcT f16 	5x5x64x192	-	0.0ms 0TOps 110GBs
44024.99976580796	GPU-0	Cast	3x3x384x256 -DstT f32 -SrcT f16 	3x3x384x256	-	0.0ms 0TOps 150GBs
99244.60140515224	GPU-0	Mul	3x3x192x384 	3x3x192x384	1	0.1ms 0TOps 50GBs
