Cast	/job:localhost/replica:0/task:0/device:GPU:0	0	13000	15000	['(11x11x3x64)', ' -DstT f16 -SrcT f32']	Cast = Cast(v/cg/conv0/conv2d/kernel/read)	[1552507523175521000, 1552507523175521000, 1552507523175534000, 1552507523175536000]
Cast_1	/job:localhost/replica:0/task:0/device:GPU:0	2000	25000	28000	['(5x5x64x192)', ' -DstT f16 -SrcT f32']	[GPU_0_bfc 0.6MB 0.6MB] Cast_1 = Cast(v/cg/conv1/conv2d/kernel/read)	[1552507523176800000, 1552507523176802000, 1552507523176825000, 1552507523176828000]
Cast_2	/job:localhost/replica:0/task:0/device:GPU:0	2000	40000	43000	['(3x3x192x384)', ' -DstT f16 -SrcT f32']	[GPU_0_bfc 1.3MB 1.3MB] Cast_2 = Cast(v/cg/conv2/conv2d/kernel/read)	[1552507523177007000, 1552507523177009000, 1552507523177047000, 1552507523177050000]
Cast_3	/job:localhost/replica:0/task:0/device:GPU:0	1000	64000	68000	['(3x3x384x384)', ' -DstT f16 -SrcT f32']	[GPU_0_bfc 2.5MB 2.5MB] Cast_3 = Cast(v/cg/conv3/conv2d/kernel/read)	[1552507523177371000, 1552507523177372000, 1552507523177435000, 1552507523177439000]
Cast_4	/job:localhost/replica:0/task:0/device:GPU:0	0	52000	55000	['(3x3x384x256)', ' -DstT f16 -SrcT f32']	[GPU_0_bfc 1.7MB 1.7MB] Cast_4 = Cast(v/cg/conv4/conv2d/kernel/read)	[1552507523177607000, 1552507523177607000, 1552507523177659000, 1552507523177662000]
ConstantFolding/average_loss/Mean/input_const_axis	/job:localhost/replica:0/task:0/device:GPU:0	200	700	3000	['(1)']	ConstantFolding/average_loss/Mean/input_const_axis = Const(^tower_0/v/add)	[1552507523225702000, 1552507523225702200, 1552507523225702700, 1552507523225705000]
ConstantFolding/tower_0/v/cg/dropout0_1/dropout/dropout/div_recip	/job:localhost/replica:0/task:0/device:GPU:0	0	1000	2000	['(1)']	ConstantFolding/tower_0/v/cg/dropout0_1/dropout/dropout/div_recip = Const()	[1552507523166696000, 1552507523166696000, 1552507523166697000, 1552507523166698000]
ConstantFolding/tower_0/v/gradients/tower_0/v/cg/conv0/conv2d/Conv2D_grad/ShapeN-matshapes-1	/job:localhost/replica:0/task:0/device:GPU:0	0	1000	3000	['(4)']	ConstantFolding/tower_0/v/gradients/tower_0/v/cg/conv0/conv2d/Conv2D_grad/ShapeN-matshapes-1 = Const(^Cast, ^tower_0/v/gpu_cached_inputs/read)	[1552507523177771000, 1552507523177771000, 1552507523177772000, 1552507523177774000]
ConstantFolding/tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/ShapeN-matshapes-1	/job:localhost/replica:0/task:0/device:GPU:0	200	700	2000	['(4)']	ConstantFolding/tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/ShapeN-matshapes-1 = Const(^Cast_1, ^tower_0/v/cg/mpool0/MaxPool)	[1552507523187592000, 1552507523187592200, 1552507523187592700, 1552507523187594000]
ConstantFolding/tower_0/v/gradients/tower_0/v/cg/conv2/conv2d/Conv2D_grad/ShapeN-matshapes-1	/job:localhost/replica:0/task:0/device:GPU:0	200	700	1000	['(4)']	ConstantFolding/tower_0/v/gradients/tower_0/v/cg/conv2/conv2d/Conv2D_grad/ShapeN-matshapes-1 = Const(^Cast_2, ^tower_0/v/cg/mpool1/MaxPool)	[1552507523197227000, 1552507523197227200, 1552507523197227700, 1552507523197228000]
ConstantFolding/tower_0/v/gradients/tower_0/v/cg/conv3/conv2d/Conv2D_grad/ShapeN-matshapes-1	/job:localhost/replica:0/task:0/device:GPU:0	0	1000	2000	['(4)']	ConstantFolding/tower_0/v/gradients/tower_0/v/cg/conv3/conv2d/Conv2D_grad/ShapeN-matshapes-1 = Const(^Cast_3, ^tower_0/v/cg/conv2/Relu)	[1552507523203306000, 1552507523203306000, 1552507523203307000, 1552507523203308000]
ConstantFolding/tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/ShapeN-matshapes-1	/job:localhost/replica:0/task:0/device:GPU:0	200	700	2000	['(4)']	ConstantFolding/tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/ShapeN-matshapes-1 = Const(^Cast_4, ^tower_0/v/cg/conv3/Relu)	[1552507523212547000, 1552507523212547200, 1552507523212547700, 1552507523212549000]
ConstantFolding/tower_0/v/xentropy/sparse_softmax_cross_entropy_loss/div_recip	/job:localhost/replica:0/task:0/device:GPU:0	1000	2000	3000	['(1)']	ConstantFolding/tower_0/v/xentropy/sparse_softmax_cross_entropy_loss/div_recip = Const()	[1552507523166658000, 1552507523166659000, 1552507523166660000, 1552507523166661000]
PermConstNCHWToNHWC-LayoutOptimizer	/job:localhost/replica:0/task:0/device:GPU:0	0	1000	2000	['(4)']	PermConstNCHWToNHWC-LayoutOptimizer = Const()	[1552507523166699000, 1552507523166699000, 1552507523166700000, 1552507523166701000]
PermConstNHWCToNCHW-LayoutOptimizer	/job:localhost/replica:0/task:0/device:GPU:0	200	700	1000	['(4)']	PermConstNHWCToNCHW-LayoutOptimizer = Const()	[1552507523166718000, 1552507523166718200, 1552507523166718700, 1552507523166719000]
_SOURCE	/job:localhost/replica:0/task:0/device:CPU:0	1000	2000	4000	['(none)']	_SOURCE = NoOp()	[1552507523166545000, 1552507523166546000, 1552507523166547000, 1552507523166549000]
_SOURCE	/job:localhost/replica:0/task:0/device:GPU:0	2000	4000	124000	['(none)']	_SOURCE = NoOp()	[1552507523166505000, 1552507523166507000, 1552507523166509000, 1552507523166629000]
_retval_average_loss/Mean_0_0	/job:localhost/replica:0/task:0/device:CPU:0	1000	2000	4000	['(none)']	_retval_average_loss/Mean_0_0 = _Retval(average_loss/Mean/_45)	[1552507523231276000, 1552507523231277000, 1552507523231278000, 1552507523231280000]
_retval_inc_global_step/AssignAdd_0_1	/job:localhost/replica:0/task:0/device:CPU:0	1000	2000	4000	['(none)']	_retval_inc_global_step/AssignAdd_0_1 = _Retval(inc_global_step/AssignAdd)	[1552507523314218000, 1552507523314219000, 1552507523314220000, 1552507523314222000]
append_apply_gradient_ops/GradientDescent	/job:localhost/replica:0/task:0/device:GPU:0	0	1000	2000	['(none)', '']	append_apply_gradient_ops/GradientDescent = NoOp(^append_apply_gradient_ops/GradientDescent/update_v/cg/affine0/biases/ApplyGradientDescent, ^append_apply_gradient_ops/GradientDescent/update_v/cg/affine0/weights/ApplyGradientDescent, ^append_apply_gradient_ops/GradientDescent/update_v/cg/affine1/biases/ApplyGradientDescent, ^append_apply_gradient_ops/GradientDescent/update_v/cg/affine1/weights/ApplyGradientDescent, ^append_apply_gradient_ops/GradientDescent/update_v/cg/affine2/biases/ApplyGradientDescent, ^append_apply_gradient_ops/GradientDescent/update_v/cg/affine2/weights/ApplyGradientDescent, ^append_apply_gradient_ops/GradientDescent/update_v/cg/conv0/biases/ApplyGradientDescent, ^append_apply_gradient_ops/GradientDescent/update_v/cg/conv0/conv2d/kernel/ApplyGradientDescent, ^append_apply_gradient_ops/GradientDescent/update_v/cg/conv1/biases/ApplyGradientDescent, ^append_apply_gradient_ops/GradientDescent/update_v/cg/conv1/conv2d/kernel/ApplyGradientDescent, ^append_apply_gradient_ops/GradientDescent/update_v/cg/conv2/biases/ApplyGradientDescent, ^append_apply_gradient_ops/GradientDescent/update_v/cg/conv2/conv2d/kernel/ApplyGradientDescent, ^append_apply_gradient_ops/GradientDescent/update_v/cg/conv3/biases/ApplyGradientDescent, ^append_apply_gradient_ops/GradientDescent/update_v/cg/conv3/conv2d/kernel/ApplyGradientDescent, ^append_apply_gradient_ops/GradientDescent/update_v/cg/conv4/biases/ApplyGradientDescent, ^append_apply_gradient_ops/GradientDescent/update_v/cg/conv4/conv2d/kernel/ApplyGradientDescent)	[1552507523314086000, 1552507523314086000, 1552507523314087000, 1552507523314088000]
append_apply_gradient_ops/GradientDescent/update_v/cg/affine0/biases/ApplyGradientDescent	/job:localhost/replica:0/task:0/device:GPU:0	1000	16000	19000	['(4096)', ' -t f32 -use_locking 0']	append_apply_gradient_ops/GradientDescent/update_v/cg/affine0/biases/ApplyGradientDescent = ApplyGradientDescent(v/cg/affine0/biases, learning_rate_tensor/input, tower_0/v/mul_13)	[1552507523246947000, 1552507523246948000, 1552507523246963000, 1552507523246966000]
