tower_0/v/gradients/tower_0/v/l2_loss/L2Loss_11_grad/mul	Mul	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:', '(4096)', ' 1:', '(1)'], ['(4096)', ' -t f32'], 0, 10000, 12000, [1552507291913639000, 1552507291913639000, 1552507291913649000, 1552507291913651000], 1]}
append_apply_gradient_ops/GradientDescent/update_v/cg/conv2/biases/ApplyGradientDescent	ApplyGradientDescent	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:', '(384)', ' 1:', '(1)', ' 2:', '(384)'], ['(384)', ' -t f32 -use_locking 0'], 0, 11000, 15000, [1552507292035255000, 1552507292035255000, 1552507292035266000, 1552507292035270000], 1]}
main_fetch_group	NoOp	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:(none)'], ['(none)'], 200, 700, 1000, [1552507292057614000, 1552507292057614200, 1552507292057614700, 1552507292057615000], 1]}
tower_0/v/gradients/tower_0/v/cg/mpool2/MaxPool_grad/MaxPoolGrad	MaxPoolGrad	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:', '(128x256x13x13)', ' 1:', '(128x256x6x6)', ' 2:', '(128x256x6x6)'], ['(128x256x13x13)', ' -t f32 -data_format NHWC -ksize list { i: 1 i: 3 i: 3 i: 1} -strides 1 2 2 1'], 1000, 822000, 826000, [1552507291987647000, 1552507291987648000, 1552507291988469000, 1552507291988473000], 1]}
v/cg/conv0/biases	VariableV2	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:(none)'], ['(64)', ' -t f32'], 0, 1000, 2000, [1552507291911647000, 1552507291911647000, 1552507291911648000, 1552507291911649000], 1]}
tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropFilter	Conv2DBackpropFilter	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:', '(128x64x27x27)', ' 1:', '(4)', ' 2:', '(128x192x27x27)'], ['(5x5x64x192)', ' -t f32 -data_format NHWC -p s -cudnn 1'], 1000, 5089000, 5092000, [1552507292040366000, 1552507292040367000, 1552507292045455000, 1552507292045458000], 1]}
tower_0/v/cg/dropout0_1/dropout/dropout/div	Mul	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:', '(1)', ' 1:', '(128x4096)'], ['(128x4096)', ' -t f32'], 0, 40000, 43000, [1552507291968580000, 1552507291968580000, 1552507291968620000, 1552507291968623000], 1]}
tower_0/v/gradients/AddN_14	AddN	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:', '(64)', ' 1:', '(64)'], ['(64)', ' -N i: 2 -t f32'], 0, 12000, 14000, [1552507292057542000, 1552507292057542000, 1552507292057554000, 1552507292057556000], 1]}
tower_0/v/cg/affine0/affine0	Relu	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:', '(128x4096)'], ['(128x4096)', ' -t f32'], 0, 37000, 39000, [1552507291967013000, 1552507291967013000, 1552507291967050000, 1552507291967052000], 1]}
tower_0/v/gradients/tower_0/v/l2_loss/L2Loss_10_grad/mul	Mul	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:', '(9216x4096)', ' 1:', '(1)'], ['(9216x4096)', ' -t f32'], 1000, 1971000, 1974000, [1552507291914592000, 1552507291914593000, 1552507291916563000, 1552507291916566000], 1]}
append_apply_gradient_ops/GradientDescent/update_v/cg/affine1/biases/ApplyGradientDescent	ApplyGradientDescent	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:', '(4096)', ' 1:', '(1)', ' 2:', '(4096)'], ['(4096)', ' -t f32 -use_locking 0'], 1000, 13000, 16000, [1552507291974930000, 1552507291974931000, 1552507291974943000, 1552507291974946000], 1]}
v/cg/conv4/conv2d/kernel	VariableV2	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:(none)'], ['(3x3x384x256)', ' -t f32'], 1000, 3000, 4000, [1552507291911672000, 1552507291911673000, 1552507291911675000, 1552507291911676000], 1]}
tower_0/v/gradients/tower_0/v/cg/affine2/xw_plus_b_grad/BiasAddGrad	BiasAddGrad	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:', '(128x1001)'], ['(1001)', ' -t f32 -data_format NHWC'], 0, 23000, 26000, [1552507291969369000, 1552507291969369000, 1552507291969392000, 1552507291969395000], 1]}
tower_0/v/gradients/tower_0/v/cg/mpool1/MaxPool_grad/MaxPoolGrad	MaxPoolGrad	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:', '(128x192x27x27)', ' 1:', '(128x192x13x13)', ' 2:', '(128x192x13x13)'], ['(128x192x27x27)', ' -t f32 -data_format NHWC -ksize list { i: 1 i: 3 i: 3 i: 1} -strides 1 2 2 1'], 1000, 1305000, 1309000, [1552507292032462000, 1552507292032463000, 1552507292033767000, 1552507292033771000], 1]}
tower_0/v/cg/affine1/affine1	Relu	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:', '(128x4096)'], ['(128x4096)', ' -t f32'], 0, 37000, 39000, [1552507291968540000, 1552507291968540000, 1552507291968577000, 1552507291968579000], 1]}
tower_0/v/xentropy/sparse_softmax_cross_entropy_loss/Sum	Sum	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:', '(128)', ' 1:', '(1)'], ['(1)', ' -t f32 -Tidx i32 -keep_dims b: 0'], 0, 18000, 21000, [1552507291969346000, 1552507291969346000, 1552507291969364000, 1552507291969367000], 1]}
global_step	VariableV2	{'/job:localhost/replica:0/task:0/device:CPU:0': [[' 0:(none)'], ['(1)', ' -t i64'], 0, 6000, 8000, [1552507291911487000, 1552507291911487000, 1552507291911493000, 1552507291911495000], 1]}
tower_0/v/cg/conv4/conv2d/Conv2D	Conv2D	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:', '(128x384x13x13)', ' 1:', '(3x3x384x256)'], ['(128x256x13x13)', ' -t f32 -data_format NHWC -p s -cudnn 1'], 0, 6011000, 6015000, [1552507291956928000, 1552507291956928000, 1552507291962939000, 1552507291962943000], 1]}
v/cg/conv2/biases/read	Identity	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:', '(384)'], ['(384)', ' -t f32'], 0, 1000, 2000, [1552507291911837000, 1552507291911837000, 1552507291911838000, 1552507291911839000], 1]}
append_apply_gradient_ops/GradientDescent/update_v/cg/conv3/conv2d/kernel/ApplyGradientDescent	ApplyGradientDescent	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:', '(3x3x384x384)', ' 1:', '(1)', ' 2:', '(3x3x384x384)'], ['(3x3x384x384)', ' -t f32 -use_locking 0'], 0, 109000, 112000, [1552507292032349000, 1552507292032349000, 1552507292032458000, 1552507292032461000], 1]}
tower_0/v/cg/dropout0/dropout/dropout/random_uniform/mul	Snapshot	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:', '(128x4096)'], ['(128x4096)', ' -t f32'], 200, 700, 2000, [1552507291912263000, 1552507291912263200, 1552507291912263700, 1552507291912265000], 1]}
tower_0/v/l2_loss/L2Loss_14	L2Loss	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:', '(4096x1001)'], ['(1)', ' -t f32'], 1000, 139000, 141000, [1552507291911889000, 1552507291911890000, 1552507291912028000, 1552507291912030000], 1]}
tower_0/v/cg/conv0/BiasAdd	BiasAdd	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:', '(128x64x55x55)', ' 1:', '(64)'], ['(128x64x55x55)', ' -t f32 -data_format NHWC'], 1000, 1646000, 1648000, [1552507291925873000, 1552507291925874000, 1552507291927519000, 1552507291927521000], 1]}
v/cg/affine0/biases	VariableV2	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:(none)'], ['(4096)', ' -t f32'], 0, 2000, 3000, [1552507291911627000, 1552507291911627000, 1552507291911629000, 1552507291911630000], 1]}
tower_0/v/gradients/tower_0/v/xentropy/sparse_softmax_cross_entropy_loss/xentropy/xentropy_grad/mul	Mul	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:', '(128)', ' 1:', '(128x1001)'], ['(128x1001)', ' -t f32'], 0, 16000, 18000, [1552507291969326000, 1552507291969326000, 1552507291969342000, 1552507291969344000], 1]}
tower_0/v/cg/conv2/BiasAdd	BiasAdd	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:', '(128x384x13x13)', ' 1:', '(384)'], ['(128x384x13x13)', ' -t f32 -data_format NHWC'], 0, 560000, 562000, [1552507291946090000, 1552507291946090000, 1552507291946650000, 1552507291946652000], 1]}
v/cg/conv1/biases/read	Identity	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:', '(192)'], ['(192)', ' -t f32'], 200, 700, 2000, [1552507291911831000, 1552507291911831200, 1552507291911831700, 1552507291911833000], 1]}
ConstantFolding/average_loss/Mean/input_const_axis	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:(none)'], ['(1)'], 200, 700, 3000, [1552507291973561000, 1552507291973561200, 1552507291973561700, 1552507291973564000], 1]}
tower_0/v/gradients/tower_0/v/l2_loss/L2Loss_13_grad/mul	Mul	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:', '(4096)', ' 1:', '(1)'], ['(4096)', ' -t f32'], 0, 11000, 13000, [1552507291912285000, 1552507291912285000, 1552507291912296000, 1552507291912298000], 1]}
tower_0/v/l2_loss/L2Loss_13	L2Loss	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:', '(4096)'], ['(1)', ' -t f32'], 1000, 16000, 18000, [1552507291912266000, 1552507291912267000, 1552507291912282000, 1552507291912284000], 1]}
v/cg/affine0/biases/read	Identity	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:', '(4096)'], ['(4096)', ' -t f32'], 0, 1000, 2000, [1552507291911813000, 1552507291911813000, 1552507291911814000, 1552507291911815000], 1]}
