tower_0/v/cg/mpool1/MaxPool	MaxPool	GPU-0	 0:(128x192x27x27)->(128x192x13x13) -t f32 -data_format NHWC -ksize list { i: 1 i: 3 i: 3 i: 1} -strides 1 2 2 1	[[0, 0, 929000, 0, 0, 0, 0, 0, 1, 0, 0, 0, [1552507291939198000, 1552507291939198000, 1552507291940127000, 1552507291940131000]]]	tower_0/v/cg/mpool1/MaxPool@GPU-0@ 0:(128x192x27x27)->(128x192x13x13) -t f32 -data_format NHWC -ksize list { i: 1 i: 3 i: 3 i: 1} -strides 1 2 2 1
tower_0/v/cg/dropout0_1/dropout/dropout/Floor	Floor	GPU-0	 0:(128x4096)->(128x4096) -t f32	[[0, 0, 39000, 0, 0, 0, 0, 0, 1, 0, 0, 0, [1552507291925787000, 1552507291925788000, 1552507291925827000, 1552507291925830000]]]	tower_0/v/cg/dropout0_1/dropout/dropout/Floor@GPU-0@ 0:(128x4096)->(128x4096) -t f32
tower_0/v/cg/conv2/BiasAdd	BiasAdd	GPU-0	 0:(128x384x13x13) 1:(384)->(128x384x13x13) -t f32 -data_format NHWC	[[0, 0, 560000, 0, 0, 0, 0, 0, 1, 0, 0, 0, [1552507291946090000, 1552507291946090000, 1552507291946650000, 1552507291946652000]]]	tower_0/v/cg/conv2/BiasAdd@GPU-0@ 0:(128x384x13x13) 1:(384)->(128x384x13x13) -t f32 -data_format NHWC
train_ops_group	NoOp	GPU-0	 0:(none)->(none)	[[0, 0, 500, 0, 0, 0, 0, 0, 1, 0, 0, 0, [1552507292057616000, 1552507292057616200, 1552507292057616700, 1552507292057617000]]]	train_ops_group@GPU-0@ 0:(none)->(none)
append_apply_gradient_ops/GradientDescent/update_v/cg/conv1/biases/ApplyGradientDescent	ApplyGradientDescent	GPU-0	 0:(192) 1:(1) 2:(192)->(192) -t f32 -use_locking 0	[[0, 0, 12000, 0, 0, 0, 0, 0, 1, 0, 0, 0, [1552507292049592000, 1552507292049592000, 1552507292049604000, 1552507292049607000]]]	append_apply_gradient_ops/GradientDescent/update_v/cg/conv1/biases/ApplyGradientDescent@GPU-0@ 0:(192) 1:(1) 2:(192)->(192) -t f32 -use_locking 0
tower_0/v/cg/affine2/xw_plus_b	BiasAdd	GPU-0	 0:(128x1001) 1:(1001)->(128x1001) -t f32 -data_format NHWC	[[0, 0, 15000, 0, 0, 0, 0, 0, 1, 0, 0, 0, [1552507291969056000, 1552507291969056000, 1552507291969071000, 1552507291969073000]]]	tower_0/v/cg/affine2/xw_plus_b@GPU-0@ 0:(128x1001) 1:(1001)->(128x1001) -t f32 -data_format NHWC
inc_global_step/AssignAdd	AssignAdd	CPU-0	 0:(1) 1:(1)->(1) -t i64 -use_locking 0	[[0, 0, 0, 4000, 0, 0, 0, 0, 0, 1, 0, 0, [1552507292057700000, 1552507292057700000, 1552507292057704000, 1552507292057705000]]]	inc_global_step/AssignAdd@CPU-0@ 0:(1) 1:(1)->(1) -t i64 -use_locking 0
append_apply_gradient_ops/GradientDescent/update_v/cg/affine2/biases/ApplyGradientDescent	ApplyGradientDescent	GPU-0	 0:(1001) 1:(1) 2:(1001)->(1001) -t f32 -use_locking 0	[[0, 0, 14000, 0, 0, 0, 0, 0, 1, 0, 0, 0, [1552507291970537000, 1552507291970538000, 1552507291970552000, 1552507291970555000]]]	append_apply_gradient_ops/GradientDescent/update_v/cg/affine2/biases/ApplyGradientDescent@GPU-0@ 0:(1001) 1:(1) 2:(1001)->(1001) -t f32 -use_locking 0
tower_0/v/cg/affine0/affine0	Relu	GPU-0	 0:(128x4096)->(128x4096) -t f32	[[0, 0, 37000, 0, 0, 0, 0, 0, 1, 0, 0, 0, [1552507291967013000, 1552507291967013000, 1552507291967050000, 1552507291967052000]]]	tower_0/v/cg/affine0/affine0@GPU-0@ 0:(128x4096)->(128x4096) -t f32
append_apply_gradient_ops/GradientDescent/update_v/cg/conv4/biases/ApplyGradientDescent	ApplyGradientDescent	GPU-0	 0:(256) 1:(1) 2:(256)->(256) -t f32 -use_locking 0	[[0, 0, 13000, 0, 0, 0, 0, 0, 1, 0, 0, 0, [1552507292020239000, 1552507292020240000, 1552507292020253000, 1552507292020257000]]]	append_apply_gradient_ops/GradientDescent/update_v/cg/conv4/biases/ApplyGradientDescent@GPU-0@ 0:(256) 1:(1) 2:(256)->(256) -t f32 -use_locking 0
