sys1 op optimization potential (100%*op_diff/total_diff),sys1 op is slower than sys2 op by X1%=100%*(sys1-sys2)/sys2,sys2 op is faster than sys1 op by X2%=100%*(sys1-sys2)/sys1,op,device,input tensors -> output tensors,full path,sys1 total time (ns),sys2 total time (ns),sys1-sys2 (ns),abs(sys1-sys2) (ns),sys1/sys2,(1+abs(1-sys1/sys2))*abs(sys1-sys2),sys1 time per occ (ns),sys1 occurences,sys2 time per occ (ns),sys2 occurences,(sys1 occ)/(sys2 occ)
23.18,17.193,14.671,Conv2D,GPU-0,0:(128x192x13x13) 1:(3x3x192x384)->(128x384x13x13) -t f32 -data_format NHWC -p s -cudnn 1,tower_0/v/cg/conv2/conv2d/Conv2D,6069500.000,5179052.632,890447.368,890447.368,1.172,1043544.194,6069500.000,1.000,5179052.632,1.000,1.000
13.52,58.239,36.805,MaxPool,GPU-0,0:(128x192x27x27)->(128x192x13x13) -t f32 -data_format NHWC -ksize list { i: 1 i: 3 i: 3 i: 1} -strides 1 2 2 1,tower_0/v/cg/mpool1/MaxPool,1411078.947,891736.842,519342.105,519342.105,1.582,821803.784,1411078.947,1.000,891736.842,1.000,1.000
13.23,49.141,32.949,Relu,GPU-0,0:(128x192x27x27)->(128x192x27x27) -t f32,tower_0/v/cg/conv1/Relu,1542394.737,1034184.211,508210.526,508210.526,1.491,757951.275,1542394.737,1.000,1034184.211,1.000,1.000
5.76,2.494,2.433,Conv2DBackpropInput,GPU-0,0:(4) 1:(3x3x384x384) 2:(128x384x13x13)->(128x384x13x13) -t f32 -data_format NHWC -p s -cudnn 1,tower_0/v/gradients/tower_0/v/cg/conv3/conv2d/Conv2D_grad/Conv2DBackpropInput,9093394.737,8872157.895,221236.842,221236.842,1.025,226753.622,9093394.737,1.000,8872157.895,1.000,1.000
2.74,1.199,1.185,Conv2D,GPU-0,0:(128x384x13x13) 1:(3x3x384x384)->(128x384x13x13) -t f32 -data_format NHWC -p s -cudnn 1,tower_0/v/cg/conv3/conv2d/Conv2D,8889000.000,8783684.211,105315.789,105315.789,1.012,106578.519,8889000.000,1.000,8783684.211,1.000,1.000
2.13,1002.903,90.933,RandomUniformInt,GPU-0,0:(1) 1:(1) 2:(1)->(128) -t i32 -Tout i32 -seed i: 123 -seed2 i: 16,tower_0/v/alexnet_synthetic_labels,89973.684,8157.895,81815.789,81815.789,11.029,902348.981,89973.684,1.000,8157.895,1.000,1.000
1.53,0.920,0.912,Conv2D,GPU-0,0:(128x3x227x227) 1:(11x11x3x64)->(128x64x55x55) -t f32 -data_format NHWC -strides list { i: 1 i: 4 i: 4 i: 1} -cudnn 1,tower_0/v/cg/conv0/conv2d/Conv2D,6464631.579,6405684.211,58947.368,58947.368,1.009,59489.823,6464631.579,1.000,6405684.211,1.000,1.000
1.53,31.454,23.928,SparseSoftmaxCrossEntropyWithLogits,GPU-0,0:(128x1001) 1:(128)->(128)(128x1001) -t f32 -Tlabels i32,tower_0/v/xentropy/sparse_softmax_cross_entropy_loss/xentropy/xentropy,246026.316,187157.895,58868.421,58868.421,1.315,77384.824,246026.316,1.000,187157.895,1.000,1.000
1.15,866.495,89.653,AddN,GPU-0,0:(16x1)->(1) -N i: 16 -t f32,tower_0/v/l2_loss/AddN,49342.105,5105.263,44236.842,44236.842,9.665,427546.799,49342.105,1.000,5105.263,1.000,1.000
0.97,6.072,5.725,BiasAddGrad,GPU-0,0:(128x64x55x55)->(64) -t f32 -data_format NHWC,tower_0/v/gradients/tower_0/v/cg/conv0/BiasAdd_grad/BiasAddGrad,650447.368,613210.526,37236.842,37236.842,1.061,39498.027,650447.368,1.000,613210.526,1.000,1.000
0.91,22.498,18.366,BiasAddGrad,GPU-0,0:(128x256x13x13)->(256) -t f32 -data_format NHWC,tower_0/v/gradients/tower_0/v/cg/conv4/BiasAdd_grad/BiasAddGrad,189421.053,154631.579,34789.474,34789.474,1.225,42616.513,189421.053,1.000,154631.579,1.000,1.000
0.88,7.488,6.966,BiasAddGrad,GPU-0,0:(128x192x27x27)->(192) -t f32 -data_format NHWC,tower_0/v/gradients/tower_0/v/cg/conv1/BiasAdd_grad/BiasAddGrad,484684.211,450921.053,33763.158,33763.158,1.075,36291.208,484684.211,1.000,450921.053,1.000,1.000
0.85,14.404,12.591,BiasAddGrad,GPU-0,0:(128x384x13x13)->(384) -t f32 -data_format NHWC,tower_0/v/gradients/tower_0/v/cg/conv3/BiasAdd_grad/BiasAddGrad,257921.053,225447.368,32473.684,32473.684,1.144,37151.229,257921.053,1.000,225447.368,1.000,1.000
0.80,13.609,11.979,BiasAddGrad,GPU-0,0:(128x384x13x13)->(384) -t f32 -data_format NHWC,tower_0/v/gradients/tower_0/v/cg/conv2/BiasAdd_grad/BiasAddGrad,257473.684,226631.579,30842.105,30842.105,1.136,35039.382,257473.684,1.000,226631.579,1.000,1.000
