sys1 op optimization potential (100%*op_diff/total_diff),sys1 op is slower than sys2 op by X1%=100%*(sys1-sys2)/sys2,sys2 op is faster than sys1 op by X2%=100%*(sys1-sys2)/sys1,op,device,input tensors -> output tensors,full path,sys1 total time (ns),sys2 total time (ns),sys1-sys2 (ns),abs(sys1-sys2) (ns),sys1/sys2,(1+abs(1-sys1/sys2))*abs(sys1-sys2),sys1 time per occ (ns),sys1 occurences,sys2 time per occ (ns),sys2 occurences,(sys1 occ)/(sys2 occ)
20.63,1154.532,92.029,L2Loss,GPU-0,0:(4096x1001)->(1) -t f32,aggregated,1376684.211,109736.842,1266947.369,1266947.369,12.545,15894264.928,1376684.211,1.000,109736.842,1.000,1.000
8.62,46.019,31.516,BiasAdd,GPU-0,0:(128x192x27x27) 1:(192)->(128x192x27x27) -t f16 -data_format NHWC,aggregated,1678868.421,1149763.158,529105.263,529105.263,1.460,772592.261,1678868.421,1.000,1149763.158,1.000,1.000
6.51,96.614,49.139,L2Loss,GPU-0,0:(4096x4096)->(1) -t f32,aggregated,812842.105,413421.053,399421.052,399421.052,1.966,785316.196,812842.105,1.000,413421.053,1.000,1.000
6.13,7.593,7.057,Conv2D,GPU-0,0:(128x192x13x13) 1:(3x3x192x384)->(128x384x13x13) -t f16 -data_format NHWC -p s -cudnn 1,aggregated,5337473.684,4960815.789,376657.895,376657.895,1.076,405256.250,5337473.684,1.000,4960815.789,1.000,1.000
2.94,4.565,4.366,Mul,GPU-0,0:(9216x4096) 1:(1)->(9216x4096) -t f32,aggregated,4132631.579,3952210.526,180421.053,180421.053,1.046,188657.395,2066315.789,2.000,1976105.263,2.000,1.000
2.70,6492.782,98.483,Reciprocal,GPU-0,0:(1)->(1) -t f32,aggregated,168289.474,2552.632,165736.842,165736.842,65.928,10926669.400,168289.474,1.000,2552.632,1.000,1.000
2.56,1751.026,94.598,Mul,GPU-0,0:(4096) 1:(1)->(4096) -t f32,aggregated,166105.263,8973.684,157131.579,157131.579,18.510,2908547.064,41526.316,4.000,2243.421,4.000,1.000
2.54,2.736,2.663,Conv2D,GPU-0,0:(128x3x227x227) 1:(11x11x3x64)->(128x64x55x55) -t f16 -data_format NHWC -strides list { i: 1 i: 4 i: 4 i: 1} -cudnn 1,aggregated,5859684.211,5703631.579,156052.632,156052.632,1.027,160322.267,5859684.211,1.000,5703631.579,1.000,1.000
2.21,4084.128,97.610,L2Loss,GPU-0,0:(1001)->(1) -t f32,aggregated,138736.842,3315.789,135421.053,135421.053,41.841,5666189.626,138736.842,1.000,3315.789,1.000,1.000
1.98,13.215,11.673,L2Loss,GPU-0,0:(9216x4096)->(1) -t f32,aggregated,1039315.789,918000.000,121315.789,121315.789,1.132,137347.947,1039315.789,1.000,918000.000,1.000,1.000
1.77,22.216,18.178,Relu,GPU-0,0:(128x192x27x27)->(128x192x27x27) -t f16,aggregated,597026.316,488500.000,108526.316,108526.316,1.222,132636.779,597026.316,1.000,488500.000,1.000,1.000
1.43,1092.459,91.614,Mul,GPU-0,0:(1) 1:(1)->(1) -t f32,aggregated,95710.526,8026.316,87684.210,87684.210,11.925,1045598.237,23927.632,4.000,2006.579,4.000,1.000
1.29,10.240,9.289,MaxPool,GPU-0,0:(128x192x27x27)->(128x192x13x13) -t f16 -data_format NHWC -ksize list { i: 1 i: 3 i: 3 i: 1} -strides 1 2 2 1,aggregated,852473.684,773289.474,79184.210,79184.210,1.102,87292.608,852473.684,1.000,773289.474,1.000,1.000
1.28,112.203,52.875,Mul,GPU-0,0:(3x3x192x384) 1:(1)->(3x3x192x384) -t f32,aggregated,148263.158,69868.421,78394.737,78394.737,2.122,166356.290,74131.579,2.000,34934.211,2.000,1.000
1.21,17.317,14.761,Mul,GPU-0,0:(4096x1001) 1:(1)->(4096x1001) -t f32,aggregated,503631.579,429289.474,74342.105,74342.105,1.173,87216.282,251815.789,2.000,214644.737,2.000,1.000
1.19,573.651,85.156,L2Loss,GPU-0,0:(4096)->(1) -t f32,aggregated,85447.368,12684.211,72763.157,72763.157,6.737,490170.043,42723.684,2.000,6342.105,2.000,1.000
1.15,2322.413,95.872,Cast,GPU-0,0:(4096)->(4096) -DstT f16 -SrcT f32,aggregated,73947.368,3052.632,70894.736,70894.736,24.224,1717363.617,36973.684,2.000,1526.316,2.000,1.000
1.03,3.614,3.488,Mul,GPU-0,0:(4096x4096) 1:(1)->(4096x4096) -t f32,aggregated,1810105.263,1746973.684,63131.579,63131.579,1.036,65413.008,905052.632,2.000,873486.842,2.000,1.000
1.02,3556.716,97.265,Cast,GPU-0,0:(1001)->(1001) -DstT f16 -SrcT f32,aggregated,64473.684,1763.158,62710.526,62710.526,36.567,2293145.956,64473.684,1.000,1763.158,1.000,1.000
0.95,777.895,88.609,Mul,GPU-0,0:(384) 1:(1)->(384) -t f32,aggregated,65842.105,7500.000,58342.105,58342.105,8.779,512182.267,16460.526,4.000,1875.000,4.000,1.000
0.94,1269.767,92.699,Mul,GPU-0,0:(1001) 1:(1)->(1001) -t f32,aggregated,62000.000,4526.316,57473.684,57473.684,13.698,787255.774,31000.000,2.000,2263.158,2.000,1.000
0.94,1.374,1.355,Conv2DBackpropInput,GPU-0,0:(4) 1:(5x5x64x192) 2:(128x192x27x27)->(128x64x27x27) -t f16 -data_format NHWC -p s -cudnn 1,aggregated,4236789.474,4179368.421,57421.053,57421.053,1.014,58209.971,4236789.474,1.000,4179368.421,1.000,1.000
0.92,31.094,23.719,SparseSoftmaxCrossEntropyWithLogits,GPU-0,0:(128x1001) 1:(128)->(128)(128x1001) -t f32 -Tlabels i32,aggregated,238763.158,182131.579,56631.579,56631.579,1.311,74240.473,238763.158,1.000,182131.579,1.000,1.000
0.89,1445.833,93.531,Mul,GPU-0,0:(192) 1:(1)->(192) -t f32,aggregated,58578.947,3789.474,54789.473,54789.473,15.458,846953.861,29289.474,2.000,1894.737,2.000,1.000
0.88,193.146,65.887,Mul,GPU-0,0:(5x5x64x192) 1:(1)->(5x5x64x192) -t f32,aggregated,82157.895,28026.316,54131.579,54131.579,2.931,158684.309,41078.947,2.000,14013.158,2.000,1.000
0.85,1250.633,92.596,Select,GPU-0,0:(1) 1:(1) 2:(1)->(1) -t f32,aggregated,56157.895,4157.895,52000.000,52000.000,13.506,702329.073,28078.947,2.000,2078.947,2.000,1.000
0.74,1.585,1.560,ApplyGradientDescent,GPU-0,0:(9216x4096) 1:(1) 2:(9216x4096)->(9216x4096) -t f32 -use_locking 0,aggregated,2923236.842,2877631.579,45605.263,45605.263,1.016,46328.024,2923236.842,1.000,2877631.579,1.000,1.000
0.70,57.579,36.540,Mul,GPU-0,0:(1) 1:(128x4096)->(128x4096) -t f16,aggregated,116815.789,74131.579,42684.210,42684.210,1.576,67261.344,29203.947,4.000,18532.895,4.000,1.000
0.65,1.383,1.364,AddN,GPU-0,0:(9216x4096) 1:(9216x4096)->(9216x4096) -N i: 2 -t f32,aggregated,2915000.000,2875236.842,39763.158,39763.158,1.014,40313.064,2915000.000,1.000,2875236.842,1.000,1.000
0.58,39.667,28.401,Mul,GPU-0,0:(128x4096) 1:(128x4096)->(128x4096) -t f16,aggregated,125736.842,90026.316,35710.526,35710.526,1.397,49875.736,31434.211,4.000,22506.579,4.000,1.000
0.57,427.742,81.051,RandomUniformInt,GPU-0,0:(1) 1:(1) 2:(1)->(128) -t i32 -Tout i32 -seed i: 123 -seed2 i: 21,aggregated,43052.632,8157.895,34894.737,34894.737,5.277,184154.156,43052.632,1.000,8157.895,1.000,1.000
0.55,598.611,85.686,L2Loss,GPU-0,0:(11x11x3x64)->(1) -t f32,aggregated,39710.526,5684.211,34026.315,34026.315,6.986,237711.596,39710.526,1.000,5684.211,1.000,1.000
0.55,1240.385,92.539,Tile,GPU-0,0:(1) 1:(1)->(128) -t f32 -Tmultiples i32,aggregated,36684.211,2736.842,33947.369,33947.369,13.404,455025.335,36684.211,1.000,2736.842,1.000,1.000
0.49,31.503,23.956,Mul,GPU-0,0:(3x3x384x256) 1:(1)->(3x3x384x256) -t f32,aggregated,124789.474,94894.737,29894.737,29894.737,1.315,39312.491,62394.737,2.000,47447.368,2.000,1.000
0.49,851.880,89.494,Mul,GPU-0,0:(64) 1:(1)->(64) -t f32,aggregated,33315.789,3500.000,29815.789,29815.789,9.519,283810.439,16657.895,2.000,1750.000,2.000,1.000
0.47,35.623,26.266,BiasAddGrad,GPU-0,0:(128x4096)->(4096) -t f16 -data_format NHWC,aggregated,109105.263,80447.368,28657.895,28657.895,1.356,38866.743,54552.632,2.000,40223.684,2.000,1.000
0.47,0.595,0.591,Conv2DBackpropFilter,GPU-0,0:(128x64x27x27) 1:(4) 2:(128x192x27x27)->(5x5x64x192) -t f16 -data_format NHWC -p s -cudnn 1,aggregated,4839842.105,4811236.842,28605.263,28605.263,1.006,28775.336,4839842.105,1.000,4811236.842,1.000,1.000
0.45,19.681,16.445,Mul,GPU-0,0:(3x3x384x384) 1:(1)->(3x3x384x384) -t f32,aggregated,168026.316,140394.737,27631.579,27631.579,1.197,33069.847,84013.158,2.000,70197.368,2.000,1.000
0.42,36.838,26.921,ReluGrad,GPU-0,0:(128x4096) 1:(128x4096)->(128x4096) -t f16,aggregated,95894.737,70078.947,25815.790,25815.790,1.368,35325.850,47947.368,2.000,35039.474,2.000,1.000
0.42,131.191,56.746,L2Loss,GPU-0,0:(5x5x64x192)->(1) -t f32,aggregated,45447.368,19657.895,25789.473,25789.473,2.312,59623.051,45447.368,1.000,19657.895,1.000,1.000
0.41,96.076,48.999,L2Loss,GPU-0,0:(3x3x192x384)->(1) -t f32,aggregated,51289.474,26157.895,25131.579,25131.579,1.961,49277.110,51289.474,1.000,26157.895,1.000,1.000
0.40,506.486,83.512,AddN,GPU-0,0:(16x1)->(1) -N i: 16 -t f32,aggregated,29526.316,4868.421,24657.895,24657.895,6.065,149546.804,29526.316,1.000,4868.421,1.000,1.000
0.39,405.286,80.209,ApplyGradientDescent,GPU-0,0:(4096) 1:(1) 2:(4096)->(4096) -t f32 -use_locking 0,aggregated,30184.211,5973.684,24210.527,24210.527,5.053,122332.493,15092.105,2.000,2986.842,2.000,1.000
0.38,1086.585,91.572,Cast,GPU-0,0:(11x11x3x64)->(11x11x3x64) -DstT f16 -SrcT f32,aggregated,25605.263,2157.895,23447.368,23447.368,11.866,278223.002,25605.263,1.000,2157.895,1.000,1.000
0.38,0.395,0.394,Conv2D,GPU-0,0:(128x384x13x13) 1:(3x3x384x256)->(128x256x13x13) -t f16 -data_format NHWC -p s -cudnn 1,aggregated,5867473.684,5844368.421,23105.263,23105.263,1.004,23196.608,5867473.684,1.000,5844368.421,1.000,1.000
0.37,5.105,4.857,Relu,GPU-0,0:(128x384x13x13)->(128x384x13x13) -t f16,aggregated,470789.474,447921.053,22868.421,22868.421,1.051,24035.959,235394.737,2.000,223960.526,2.000,1.000
0.36,2.125,2.081,BiasAdd,GPU-0,0:(128x384x13x13) 1:(384)->(128x384x13x13) -t f16 -data_format NHWC,aggregated,1069763.158,1047500.000,22263.158,22263.158,1.021,22736.331,534881.579,2.000,523750.000,2.000,1.000
0.35,156.464,61.008,BiasAddGrad,GPU-0,0:(128x1001)->(1001) -t f16 -data_format NHWC,aggregated,35500.000,13842.105,21657.895,21657.895,2.565,55544.679,35500.000,1.000,13842.105,1.000,1.000
0.35,70.171,41.236,L2Loss,GPU-0,0:(3x3x384x256)->(1) -t f32,aggregated,52394.737,30789.474,21605.263,21605.263,1.702,36765.879,52394.737,1.000,30789.474,1.000,1.000
0.35,438.044,81.414,L2Loss,GPU-0,0:(384)->(1) -t f32,aggregated,26052.632,4842.105,21210.527,21210.527,5.380,114121.865,13026.316,2.000,2421.053,2.000,1.000
