reason,op name,device,input tensors -> output tensors,full path,sys1 total (ns),sys2 total (ns),sys1 time for 1 occurence (ns),sys1 occurences,sys2 time for 1 occurence (ns),sys2 occurences
unique to sys2,MEMCPYDtoH,MEMCPY-0,(Transfer)->(4 bytes),edge_414_average_loss/Mean/MEMCPYDtoH,0,1000.0,0,0,1000.0,1.0
unique to sys1,Identity,GPU-0,0:(4096x4096)->(4096x4096) -t f32,v/cg/affine1/weights/read,776.3157894736842,0,776.316,1.0,0,0
unique to sys1,VariableV2,GPU-0,0:(none)->(3x3x384x384) -t f32,v/cg/conv3/conv2d/kernel,1578.9473684210527,0,1578.947,1.0,0,0
unique to sys1,Identity,GPU-0,0:(3x3x384x384)->(3x3x384x384) -t f32,v/cg/conv3/conv2d/kernel/read,684.2105263157895,0,684.211,1.0,0,0
unique to sys1,Const,GPU-0,0:(none)->(1),ConstantFolding/average_loss/Mean/input_const_axis,855.2631578947369,0,855.263,1.0,0,0
unique to sys1,Identity,GPU-0,0:(128x227x227x3)->(128x227x227x3) -t f32,tower_0/v/gpu_cached_inputs/read,776.3157894736842,0,776.316,1.0,0,0
unique to sys1,Const,GPU-0,0:(none)->(2) -t i32,tower_0/v/cg/Reshape/shape,828.9473684210525,0,828.947,1.0,0,0
unique to sys1,Const,GPU-0,0:(none)->(4),PermConstNCHWToNHWC-LayoutOptimizer,697.3684210526316,0,697.368,1.0,0,0
unique to sys1,Const,GPU-0,0:(none)->(1) -t f32,tower_0/v/xentropy/sparse_softmax_cross_entropy_loss/zeros_like,960.5263157894736,0,960.526,1.0,0,0
unique to sys1,Identity,GPU-0,0:(4096)->(4096) -t f32,v/cg/affine1/biases/read,868.4210526315788,0,868.421,1.0,0,0
unique to sys1,Const,GPU-0,0:(none)->(4),tower_0/v/gradients/tower_0/v/cg/conv2/conv2d/Conv2D_grad/Conv2DBackpropInput-0-LayoutOptimizer,1105.2631578947369,0,1105.263,1.0,0,0
unique to sys1,VariableV2,GPU-0,0:(none)->(4096x1001) -t f32,v/cg/affine2/weights,1789.4736842105262,0,1789.474,1.0,0,0
unique to sys1,VariableV2,GPU-0,0:(none)->(64) -t f32,v/cg/conv0/biases,1078.9473684210527,0,1078.947,1.0,0,0
unique to sys1,VariableV2,GPU-0,0:(none)->(5x5x64x192) -t f32,v/cg/conv1/conv2d/kernel,1684.2105263157896,0,1684.211,1.0,0,0
unique to sys1,Identity,GPU-0,0:(192)->(192) -t f32,v/cg/conv1/biases/read,723.6842105263158,0,723.684,1.0,0,0
unique to sys1,Identity,GPU-0,0:(4096x1001)->(4096x1001) -t f32,v/cg/affine2/weights/read,881.5789473684212,0,881.579,1.0,0,0
unique to sys1,Identity,GPU-0,0:(3x3x192x384)->(3x3x192x384) -t f32,v/cg/conv2/conv2d/kernel/read,763.1578947368421,0,763.158,1.0,0,0
unique to sys1,Const,GPU-0,0:(none)->(1) -t i32,tower_0/v/alexnet_synthetic_labels/min,750.0,0,750.0,1.0,0,0
unique to sys1,Const,GPU-0,0:(none)->(1) -t f32,tower_0/v/cg/dropout0_1/dropout/dropout/keep_prob,907.8947368421052,0,907.895,1.0,0,0
unique to sys1,Const,GPU-0,0:(none)->(1) -t i32,tower_0/v/alexnet_synthetic_labels/shape,855.2631578947369,0,855.263,1.0,0,0
unique to sys1,VariableV2,GPU-0,0:(none)->(3x3x192x384) -t f32,v/cg/conv2/conv2d/kernel,1605.2631578947369,0,1605.263,1.0,0,0
unique to sys1,VariableV2,GPU-0,0:(none)->(128x227x227x3) -t f32,tower_0/v/gpu_cached_inputs,1842.105263157895,0,1842.105,1.0,0,0
unique to sys1,Identity,GPU-0,0:(5x5x64x192)->(5x5x64x192) -t f32,v/cg/conv1/conv2d/kernel/read,710.5263157894736,0,710.526,1.0,0,0
unique to sys1,Identity,GPU-0,0:(384)->(384) -t f32,v/cg/conv2/biases/read,750.0,0,750.0,1.0,0,0
unique to sys1,Const,GPU-0,0:(none)->(4),tower_0/v/gradients/tower_0/v/cg/conv3/conv2d/Conv2D_grad/Conv2DBackpropInput-0-LayoutOptimizer,986.8421052631579,0,986.842,1.0,0,0
unique to sys1,Identity,GPU-0,0:(3x3x384x256)->(3x3x384x256) -t f32,v/cg/conv4/conv2d/kernel/read,710.5263157894736,0,710.526,1.0,0,0
unique to sys1,VariableV2,GPU-0,0:(none)->(9216x4096) -t f32,v/cg/affine0/weights,1315.7894736842106,0,1315.789,1.0,0,0
unique to sys1,Const,GPU-0,0:(none)->(4),PermConstNHWCToNCHW-LayoutOptimizer,710.5263157894736,0,710.526,1.0,0,0
unique to sys1,NoOp,GPU-0,0:(none)->(none),gpu_compute_stage_ops_group,828.9473684210525,0,828.947,1.0,0,0
unique to sys1,VariableV2,GPU-0,0:(none)->(384) -t f32,v/cg/conv2/biases,1052.6315789473683,0,1052.632,1.0,0,0
unique to sys1,Identity,GPU-0,0:(4096)->(4096) -t f32,v/cg/affine0/biases/read,842.1052631578948,0,842.105,1.0,0,0
unique to sys1,Const,GPU-0,0:(none)->(1),ConstantFolding/tower_0/v/cg/dropout0_1/dropout/dropout/div_recip,1000.0,0,1000.0,1.0,0,0
unique to sys1,VariableV2,GPU-0,0:(none)->(4096x4096) -t f32,v/cg/affine1/weights,1447.3684210526317,0,1447.368,1.0,0,0
unique to sys1,Const,GPU-0,0:(none)->(4),tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput-0-LayoutOptimizer,1131.578947368421,0,1131.579,1.0,0,0
unique to sys1,Const,GPU-0,0:(none)->(1) -t i32,tower_0/v/xentropy/sparse_softmax_cross_entropy_loss/Const_1,828.9473684210525,0,828.947,1.0,0,0
unique to sys1,Identity,GPU-0,0:(64)->(64) -t f32,v/cg/conv0/biases/read,776.3157894736842,0,776.316,1.0,0,0
unique to sys1,NoOp,GPU-0,0:(none)->(none),main_fetch_group,671.0526315789474,0,671.053,1.0,0,0
unique to sys1,Const,GPU-0,0:(none)->(4),tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropInput-0-LayoutOptimizer,921.0526315789475,0,921.053,1.0,0,0
unique to sys1,VariableV2,GPU-0,0:(none)->(192) -t f32,v/cg/conv1/biases,1263.157894736842,0,1263.158,1.0,0,0
unique to sys1,VariableV2,GPU-0,0:(none)->(3x3x384x256) -t f32,v/cg/conv4/conv2d/kernel,1710.5263157894738,0,1710.526,1.0,0,0
unique to sys1,Const,GPU-0,0:(none)->(1) -t f32,tower_0/v/mul/x,1000.0,0,1000.0,1.0,0,0
unique to sys1,Const,GPU-0,0:(none)->(1),ConstantFolding/tower_0/v/xentropy/sparse_softmax_cross_entropy_loss/div_recip,1105.2631578947369,0,1105.263,1.0,0,0
unique to sys1,VariableV2,GPU-0,0:(none)->(1001) -t f32,v/cg/affine2/biases,3578.9473684210525,0,3578.947,1.0,0,0
unique to sys1,NoOp,GPU-0,0:(none)->(none),append_apply_gradient_ops/GradientDescent,894.7368421052631,0,894.737,1.0,0,0
unique to sys1,VariableV2,GPU-0,0:(none)->(384) -t f32,v/cg/conv3/biases,1157.8947368421052,0,1157.895,1.0,0,0
unique to sys1,Const,GPU-0,0:(none)->(2) -t i32,tower_0/v/cg/dropout0_1/dropout/dropout/Shape,828.9473684210525,0,828.947,1.0,0,0
unique to sys1,Identity,GPU-0,0:(384)->(384) -t f32,v/cg/conv3/biases/read,697.3684210526316,0,697.368,1.0,0,0
unique to sys1,Const,GPU-0,0:(none)->(1) -t f32,tower_0/v/xentropy/sparse_softmax_cross_entropy_loss/Greater,3842.1052631578946,0,3842.105,1.0,0,0
unique to sys1,Identity,GPU-0,0:(9216x4096)->(9216x4096) -t f32,v/cg/affine0/weights/read,763.1578947368421,0,763.158,1.0,0,0
unique to sys1,Mean,GPU-0,0:(1) 1:(1)->(1) -t f32 -Tidx i32 -keep_dims b: 0,average_loss/Mean,2000.0,0,2000.0,1.0,0,0
unique to sys1,Identity,GPU-0,0:(11x11x3x64)->(11x11x3x64) -t f32,v/cg/conv0/conv2d/kernel/read,763.1578947368421,0,763.158,1.0,0,0
unique to sys1,Const,GPU-0,0:(none)->(1),main_fetch_group/_38,2236.842105263158,0,2236.842,1.0,0,0
unique to sys1,NoOp,GPU-0,0:(none)->(none),train_ops_group,736.8421052631579,0,736.842,1.0,0,0
unique to sys1,VariableV2,GPU-0,0:(none)->(256) -t f32,v/cg/conv4/biases,1157.8947368421052,0,1157.895,1.0,0,0
unique to sys1,VariableV2,GPU-0,0:(none)->(4096) -t f32,v/cg/affine0/biases,1500.0,0,1500.0,1.0,0,0
unique to sys1,VariableV2,GPU-0,0:(none)->(4096) -t f32,v/cg/affine1/biases,1552.6315789473683,0,1552.632,1.0,0,0
unique to sys1,Const,GPU-0,0:(none)->(4) -t i32,tower_0/v/gradients/tower_0/v/cg/Reshape_grad/Shape,776.3157894736842,0,776.316,1.0,0,0
unique to sys1,VariableV2,GPU-0,0:(none)->(11x11x3x64) -t f32,v/cg/conv0/conv2d/kernel,1631.578947368421,0,1631.579,1.0,0,0
unique to sys1,Identity,GPU-0,0:(256)->(256) -t f32,v/cg/conv4/biases/read,710.5263157894736,0,710.526,1.0,0,0
unique to sys1,Identity,GPU-0,0:(1001)->(1001) -t f32,v/cg/affine2/biases/read,986.8421052631579,0,986.842,1.0,0,0
unique to sys1,Const,GPU-0,0:(none)->(1) -t i32,tower_0/v/alexnet_synthetic_labels/max,789.4736842105264,0,789.474,1.0,0,0
unique to sys1,Const,GPU-0,0:(none)->(128) -t f32 -Tdim i32,tower_0/v/gradients/tower_0/v/xentropy/sparse_softmax_cross_entropy_loss/xentropy/xentropy_grad/ExpandDims,1447.3684210526317,0,1447.368,1.0,0,0
unique to sys1,Const,GPU-0,0:(none)->(1) -t f32,learning_rate_tensor/input,986.8421052631579,0,986.842,1.0,0,0
