reason,op name,device,input tensors -> output tensors,full path,sys1 total (ns),sys2 total (ns),sys1 time for 1 occurence (ns),sys1 occurences,sys2 time for 1 occurence (ns),sys2 occurences
unique to sys2,MEMCPYHtoD,GPU-0,(Transfer)->(4 bytes),aggregated,0,1000.0,0,0,1000.0,1.0
unique to sys2,MEMCPYDtoD,GPU-0,(Transfer)->(4 bytes),aggregated,0,642.857,0,0,1000.0,0.643
unique to sys2,MEMCPYDtoH,GPU-0,(Transfer)->(4 bytes),aggregated,0,1000.0,0,0,1000.0,1.0
unique to sys1,VariableV2,GPU-0,0:(none)->(64) -t f32,aggregated,1342.105,0,1342.105,1.0,0,0
unique to sys1,Identity,GPU-0,0:(128x227x227x3)->(128x227x227x3) -t f16,aggregated,723.684,0,723.684,1.0,0,0
unique to sys1,Identity,GPU-0,0:(3x3x384x384)->(3x3x384x384) -t f32,aggregated,710.526,0,710.526,1.0,0,0
unique to sys1,Mean,GPU-0,0:(1) 1:(1)->(1) -t f32 -Tidx i32 -keep_dims b: 0,aggregated,2184.211,0,2184.211,1.0,0,0
unique to sys1,NoOp,GPU-0,0:(none)->(none),aggregated,7250.0,0,1450.0,5.0,0,0
unique to sys1,Identity,GPU-0,0:(384)->(384) -t f32,aggregated,1473.684,0,736.842,2.0,0,0
unique to sys1,Const,GPU-0,0:(none)->(2) -t i32,aggregated,1644.737,0,822.368,2.0,0,0
unique to sys1,Identity,GPU-0,0:(3x3x384x256)->(3x3x384x256) -t f32,aggregated,723.684,0,723.684,1.0,0,0
unique to sys1,Identity,GPU-0,0:(9216x4096)->(9216x4096) -t f32,aggregated,815.789,0,815.789,1.0,0,0
unique to sys1,VariableV2,GPU-0,0:(none)->(3x3x192x384) -t f32,aggregated,1789.474,0,1789.474,1.0,0,0
unique to sys1,VariableV2,GPU-0,0:(none)->(4096x1001) -t f32,aggregated,1921.053,0,1921.053,1.0,0,0
unique to sys1,Const,GPU-0,0:(none)->(1) -t i32,aggregated,5052.632,0,842.105,6.0,0,0
unique to sys1,Identity,GPU-0,0:(4096x1001)->(4096x1001) -t f32,aggregated,921.053,0,921.053,1.0,0,0
unique to sys1,Const,GPU-0,0:(none)->(4),aggregated,5421.053,0,903.509,6.0,0,0
unique to sys1,Const,GPU-0,0:(none)->(1) -t f32,aggregated,5000.0,0,1250.0,4.0,0,0
unique to sys1,VariableV2,GPU-0,0:(none)->(3x3x384x256) -t f32,aggregated,1657.895,0,1657.895,1.0,0,0
unique to sys1,VariableV2,GPU-0,0:(none)->(5x5x64x192) -t f32,aggregated,2000.0,0,2000.0,1.0,0,0
unique to sys1,Const,GPU-0,0:(none)->(4) -t i32,aggregated,828.947,0,828.947,1.0,0,0
unique to sys1,VariableV2,GPU-0,0:(none)->(11x11x3x64) -t f32,aggregated,1894.737,0,1894.737,1.0,0,0
unique to sys1,VariableV2,GPU-0,0:(none)->(192) -t f32,aggregated,1447.368,0,1447.368,1.0,0,0
unique to sys1,VariableV2,GPU-0,0:(none)->(128x227x227x3) -t f16,aggregated,1763.158,0,1763.158,1.0,0,0
unique to sys1,VariableV2,GPU-0,0:(none)->(9216x4096) -t f32,aggregated,1447.368,0,1447.368,1.0,0,0
unique to sys1,Const,GPU-0,0:(none)->(1) -t f16,aggregated,1263.158,0,1263.158,1.0,0,0
unique to sys1,Const,GPU-0,0:(none)->(1),aggregated,5578.947,0,1394.737,4.0,0,0
unique to sys1,VariableV2,GPU-0,0:(none)->(256) -t f32,aggregated,1131.579,0,1131.579,1.0,0,0
unique to sys1,Identity,GPU-0,0:(4096x4096)->(4096x4096) -t f32,aggregated,710.526,0,710.526,1.0,0,0
unique to sys1,VariableV2,GPU-0,0:(none)->(3x3x384x384) -t f32,aggregated,1789.474,0,1789.474,1.0,0,0
unique to sys1,Identity,GPU-0,0:(3x3x192x384)->(3x3x192x384) -t f32,aggregated,736.842,0,736.842,1.0,0,0
unique to sys1,VariableV2,GPU-0,0:(none)->(4096) -t f32,aggregated,4026.316,0,2013.158,2.0,0,0
unique to sys1,VariableV2,GPU-0,0:(none)->(384) -t f32,aggregated,2657.895,0,1328.947,2.0,0,0
unique to sys1,Identity,GPU-0,0:(256)->(256) -t f32,aggregated,750.0,0,750.0,1.0,0,0
unique to sys1,Identity,GPU-0,0:(4096)->(4096) -t f32,aggregated,1605.263,0,802.632,2.0,0,0
unique to sys1,Identity,GPU-0,0:(1001)->(1001) -t f32,aggregated,828.947,0,828.947,1.0,0,0
unique to sys1,VariableV2,GPU-0,0:(none)->(1001) -t f32,aggregated,4315.789,0,4315.789,1.0,0,0
unique to sys1,Identity,GPU-0,0:(5x5x64x192)->(5x5x64x192) -t f32,aggregated,684.211,0,684.211,1.0,0,0
unique to sys1,Identity,GPU-0,0:(11x11x3x64)->(11x11x3x64) -t f32,aggregated,684.211,0,684.211,1.0,0,0
unique to sys1,Identity,GPU-0,0:(192)->(192) -t f32,aggregated,710.526,0,710.526,1.0,0,0
unique to sys1,VariableV2,GPU-0,0:(none)->(4096x4096) -t f32,aggregated,3184.211,0,3184.211,1.0,0,0
unique to sys1,Identity,GPU-0,0:(64)->(64) -t f32,aggregated,736.842,0,736.842,1.0,0,0
